,,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,mto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto,yto
,,2018/6/29,2018/5/31,2018/4/27,2018/3/30,2018/2/28,2018/1/31,2017/12/29,2017/11/30,2017/10/31,2017/9/29,2017/8/31,2017/7/31,2017/6/30,2017/5/31,2017/4/28,2017/3/31,2017/2/28,2017/1/26,2016/12/30,2016/11/30,2016/10/31,2016/9/30,2016/8/31,2016/7/29,2018/6/29,2018/5/31,2018/4/27,2018/3/30,2018/2/28,2018/1/31,2017/12/29,2017/11/30,2017/10/31,2017/9/29,2017/8/31,2017/7/31,2017/6/30,2017/5/31,2017/4/28,2017/3/31,2017/2/28,2017/1/26,2016/12/30,2016/11/30,2016/10/31,2016/9/30,2016/8/31,2016/7/29
801010.INDX,002124.XSHE,-0.326521538,-0.308322355,-0.410607591,-0.296437289,0.325070595,0.054893868,-0.259275782,-0.088157464,-0.053380963,0.011725198,0.111143188,-0.420208525,-0.014659546,-0.168450237,-0.1095032,-0.120583322,-0.046473462,0.098342034,1.028705932,3.687820591,2.666759843,0.761515149,1.366389162,1.474240626,-0.163960876,-0.156291272,-0.135317692,-0.133982602,-0.143449909,-0.169718401,-0.136882044,-0.078390314,0.300058812,0.421809597,0.488265198,0.554196908,0.765602392,0.708571913,0.84699292,0.814241263,0.935136661,1.009937555,1.032618313,0.962489159,0.523335054,0.343960044,0.307912642,0.205276506
801010.INDX,002157.XSHE,-0.32174551,-0.178195715,-0.305471175,-0.302412789,-0.250870185,-0.124260486,0.039944865,0.264082493,-0.27441036,-0.149377253,0.121289966,-0.415400435,-0.209565922,-0.273032476,-0.246584175,-0.327573838,-0.220375783,-0.358979599,-0.452272699,-0.087242079,0.604616312,0.816419387,2.059505644,0.983341695,-0.160385799,-0.164764944,-0.165471058,-0.179346485,-0.20640027,-0.222292384,-0.201222064,-0.243111698,-0.33292507,-0.289048986,-0.216195493,-0.124568378,0.070089452,0.028885192,0.165185931,0.125832824,0.215153678,0.27280364,0.316123519,0.331418633,0.343451923,0.286892607,0.236967975,0.060329983
801010.INDX,002220.XSHE,-0.15504376,0.196218092,-0.565517978,-0.395583021,-0.303294022,-0.300067708,-0.243750549,-0.26835509,-0.316994005,-0.339690589,-0.373959894,-0.37771843,-0.286598066,-0.344697643,-0.269530194,-0.221312323,-0.375619333,0.012898746,-0.076443831,0.169354425,0.194231355,0.448657935,-7.46E-05,0.010606903,-0.26986897,-0.28835586,-0.523035769,-0.3265402,-0.332108482,-0.352220616,-0.297097603,-0.308746387,-0.334932475,-0.307887555,-0.245465854,-0.246298617,-0.123676058,-0.204504827,-0.093156631,-0.087203776,-0.02502711,0.064069927,0.118207862,0.152170294,0.134681735,0.140973751,0.130295548,0.051557387
801010.INDX,002234.XSHE,0.60266085,0.864002168,-0.059317211,0.288032001,0.498975051,0.157296189,0.870058426,0.559141654,0.238402797,0.581780028,1.648262929,2.167028252,0.839637881,0.379916824,0.275652678,0.667480803,1.274092273,0.406167622,0.113440268,0.130465364,0.094087616,0.060186218,0.142996816,0.275554123,0.598531639,0.59401129,0.543426482,0.542849905,0.549664085,0.560586421,0.616325477,0.538766157,0.465832554,0.468975176,0.458515919,0.326563084,0.28200465,0.146439356,0.228698628,0.17978437,0.230669157,0.202642098,0.165228861,0.200691801,0.212693109,0.234692398,0.270364969,0.23208336
801010.INDX,002286.XSHE,-0.398468115,-0.465388284,-0.434893946,-0.387496772,-0.348824205,-0.161310905,-0.293867089,-0.266074108,-0.353650256,-0.354938499,-0.404768595,-0.534857237,-0.254478535,-0.336264603,-0.25194045,-0.188888596,-0.077239561,0.631996174,0.091941583,0.684953861,0.534385638,0.872248977,0.268088406,0.599949526,-0.355842433,-0.358072358,-0.334961482,-0.340509128,-0.339286308,-0.337825999,-0.287485749,-0.278282583,-0.255016022,-0.206419318,-0.115594472,-0.086739514,0.075407733,-0.016063593,0.081189762,0.052660346,0.247509486,0.391052726,0.379881363,0.410423671,0.33937183,0.308158149,0.293512981,0.280928687
801010.INDX,002299.XSHE,-0.37379197,-0.232948763,-0.399900703,-0.421952515,-0.307822993,-0.194947914,0.172045528,0.021829642,-0.400788636,-0.309623081,-0.114463568,-0.290911912,-0.139203968,-0.08606351,-0.533508607,-0.571775834,-0.703063113,-0.338064413,-0.645006526,-0.476964545,-0.403955627,-0.412404432,-0.472320878,-0.591410127,-0.238265286,-0.233801282,-0.216248321,-0.223529896,-0.230298855,-0.247045744,-0.216395833,-0.284867207,-0.393418515,-0.393919784,-0.381506831,-0.431593985,-0.358834112,-0.471251863,-0.420947917,-0.715816841,-0.732379846,-0.45848348,-0.518022416,-0.508737243,-0.521854158,-0.558273849,-0.549298168,-0.613509346
801010.INDX,002311.XSHE,-0.490835274,-0.501241516,-0.458814701,-0.476386049,-0.520724692,-0.368137083,-0.336785213,-0.3211614,-0.529194704,-0.533858734,-0.562093894,-0.667023794,-0.391063505,-0.462791556,-0.487848012,-0.492618319,-0.59663425,-0.614517222,-0.703928849,-0.603703075,-0.510416411,-0.525826188,-0.501506076,-0.650823587,-0.44990987,-0.453833354,-0.437270541,-0.457432147,-0.478937653,-0.497027769,-0.476833863,-0.505914895,-0.597549985,-0.599484252,-0.578736668,-0.597903113,-0.497362664,-0.59112438,-0.514642382,-0.569056449,-0.560620258,-0.566508492,-0.615714295,-0.617579291,-0.646411231,-0.693216942,-0.68467413,-0.761726488
801010.INDX,002321.XSHE,1.282203924,0.56781103,1.054747529,2.583515814,0.937002663,1.610580662,2.302659957,-0.44502188,0.593952837,0.264115232,0.157758091,0.101935104,0.250745608,0.118962821,0.392664152,1.125056986,1.646175799,0.85319011,0.409141483,-0.064574123,-0.027534076,0.002990631,0.405280137,0.119329019,0.678584773,0.562893926,0.513776138,0.45139137,0.45360222,0.488451903,0.457135903,-0.588897028,0.252857648,0.22357585,0.221395002,0.222325463,0.309046279,0.175350589,0.250993563,0.192856819,0.169225506,0.095773939,0.049123165,0.164324915,0.279084379,0.327986388,0.36423415,0.301897332
801010.INDX,002385.XSHE,-0.337390063,-0.385839807,-0.364985803,-0.321587901,-0.247182882,0.018937065,-0.127914416,0.013111914,-0.427118743,-0.451679922,-0.390268413,-0.489087205,-0.303974767,-0.367457447,-0.360686066,-0.399709315,-0.515704638,-0.49627512,-0.444561669,-0.517279638,-0.457984939,-0.450211684,-0.47504767,-0.60766115,-0.284569689,-0.29606435,-0.284407784,-0.302649679,-0.331723464,-0.36083048,-0.359925645,-0.387682545,-0.497640855,-0.501224934,-0.480840127,-0.510325129,-0.419698881,-0.51696434,-0.430757688,-0.482783827,-0.457134665,-0.440755497,-0.484581608,-0.474794816,-0.462219522,-0.458642663,-0.426054957,-0.473575735
801010.INDX,002458.XSHE,0.552175784,1.156385134,0.430535966,0.897473529,2.153412034,-0.426993563,-0.463204964,0.301109403,0.273655192,0.066749024,0.421406895,0.660754394,0.509685809,0.007577721,0.137017723,0.525124951,0.556709068,0.231240612,-0.25618625,0.072681388,0.042622281,-0.082185847,-0.287836346,-0.289967557,0.569559212,0.536877769,0.423399875,0.372299693,0.319066107,0.210326384,-0.55775163,0.149585774,0.087545067,0.07732106,0.091129217,0.02062897,0.041753427,-0.093414778,-0.012727652,-0.067705886,-0.064124939,-0.075846695,-0.109794657,-0.058822296,-0.016575466,-0.043131616,-0.047864327,-0.072848423
801010.INDX,002477.XSHE,-0.570803129,0.03706472,-0.202423908,-0.1073915,-0.029752211,0.21956608,0.567608219,0.453154079,-0.155144957,-0.192836653,0.555324279,-0.158223546,0.022659313,0.454622902,2.072947588,-0.39787401,-0.4499975,-0.42933068,-0.381364755,-0.33453967,-0.19095974,-0.129511008,0.382400646,0.392887892,-0.537084558,0.035315739,0.07667808,0.222463968,0.163684047,0.11908873,0.114106131,0.038625599,-0.080670115,-0.078726466,-0.051053184,-0.095758696,0.035253306,0.032049063,0.184861211,0.059556617,0.2120918,0.312949549,0.37494909,0.450314104,0.547293359,0.57249112,0.646991113,0.594174568
801010.INDX,002505.XSHE,-0.48713079,-0.479633668,-0.379244244,-0.320428475,-0.445415526,-0.33241226,-0.233322573,-0.35025174,-0.490479463,-0.453621603,-0.642732318,-0.780703434,-0.483488396,-0.542827064,-0.597221834,-0.571775834,-0.363961615,-0.434678312,-0.411747887,-0.258960012,-0.216971101,-0.228479642,-0.052139249,-0.186488826,-0.402490043,-0.399023716,-0.376600514,-0.395878923,-0.429627913,-0.430435851,-0.392352151,-0.398418921,-0.419379155,-0.389493689,-0.672604661,-0.700331153,-0.607667746,-0.709714985,-0.654515232,-0.715816841,-0.178356547,-0.122058263,0.008086657,0.093013493,0.267235789,0.349839917,0.395076881,0.417989044
801010.INDX,002548.XSHE,-0.345717497,-0.57018353,-0.414785888,-0.376705198,-0.477599273,-0.305999752,-0.304489617,-0.270386102,-0.399447173,-0.285152184,-0.285887196,-0.550213306,-0.291626363,-0.262655761,-0.346766363,-0.336803562,-0.358437848,-0.443155301,-0.513751395,0.001112443,-0.147780881,-0.147753668,-0.041871172,-0.002831442,-0.34557481,-0.540072096,-0.331077035,-0.345877468,-0.364587457,-0.374068146,-0.346668847,-0.370652433,-0.411756438,-0.399701371,-0.376830335,-0.384947004,-0.249823426,-0.300130093,-0.188160924,-0.211696693,-0.146883973,-0.118493906,-0.127419311,-0.074565116,-0.031427003,-0.000404536,0.046132568,0.102450672
