,open,close,high,low
2016-11-10,5865.92,5896.31,5928.08,5865.92
2016-11-11,5885.557,5927.41,5939.927,5879.166
2016-11-14,5921.226,5939.214,5986.909,5918.066
2016-11-15,5936.458,5933.242,5944.433,5920.421
2016-11-16,5933.686,5930.062,5938.754,5908.911
2016-11-17,5917.573,5951.799,5954.851,5905.665
2016-11-18,5963.751,5933.705,5973.077,5928.359
2016-11-21,5924.161,5994.45,6039.852,5923.621
2016-11-22,5992.293,6041.475,6049.857,5992.17
2016-11-23,6053.534,6092.895,6120.06,6052.311
2016-11-24,6078.805,6125.979,6162.775,6073.813
2016-11-25,6131.762,6202.634,6203.894,6105.98
2016-11-28,6237.623,6230.225,6286.11,6217.616
2016-11-29,6213.474,6298.925,6325.171,6205.886
2016-11-30,6296.244,6241.051,6317.694,6224.717
2016-12-01,6261.633,6289.766,6329.506,6252.657
2016-12-02,6277.833,6244.107,6277.833,6203.913
2016-12-05,6134.937,6129.036,6163.581,6092.966
2016-12-06,6115.433,6107.468,6142.386,6104.833
2016-12-07,6102.579,6112.875,6113.483,6071.65
2016-12-08,6125.721,6130.163,6150.666,6110.394
2016-12-09,6119.163,6217.989,6248.234,6114.555
2016-12-12,6207.067,6146.393,6240.528,6094.676
2016-12-13,6112.432,6103.098,6125.983,6057.021
2016-12-14,6093.405,6067.694,6135.456,6067.075
2016-12-15,6035.299,5930.193,6049.896,5910.032
2016-12-16,5917.005,5923.448,5948.916,5909.161
2016-12-19,5915.764,5886.374,5920.13,5878.545
2016-12-20,5887.205,5837.731,5889.544,5795.813
2016-12-21,5841.391,5877.866,5891.829,5841.391
2016-12-22,5868.247,5871.477,5877.6,5844.443
2016-12-23,5865.568,5832.871,5865.989,5815.517
2016-12-26,5802.04,5865.764,5867.796,5770.757
2016-12-27,5859.978,5856.846,5880.192,5855.484
2016-12-28,5854.466,5834.0,5863.421,5813.147
2016-12-29,5823.84,5827.449,5844.484,5808.153
2016-12-30,5834.031,5851.537,5853.463,5822.379
2017-01-03,5853.563,5910.235,5918.16,5853.563
2017-01-04,5905.593,5939.191,5947.612,5901.054
2017-01-05,5942.808,5944.561,5952.644,5931.031
2017-01-06,5944.439,5910.114,5951.095,5907.607
2017-01-09,5912.127,5930.053,5937.434,5905.071
2017-01-10,5922.989,5922.687,5941.459,5909.296
2017-01-11,5921.731,5888.657,5938.608,5887.485
2017-01-12,5885.572,5872.607,5911.244,5870.192
2017-01-13,5873.039,5911.954,5931.539,5872.959
2017-01-16,5903.897,5973.235,5985.146,5858.128
2017-01-17,5945.435,5960.083,5963.101,5931.735
2017-01-18,5960.837,6005.074,6021.33,5958.215
