,0,1
363,601898.XSHG,5.14
364,002011.XSHE,6.4
365,601999.XSHG,5.2
366,300434.XSHE,21.15
367,600839.XSHG,2.71
368,002679.XSHE,11.69
369,603633.XSHG,10.58
370,600757.XSHG,5.97
371,002577.XSHE,12.31
372,600586.XSHG,3.32
373,601579.XSHG,10.12
374,000530.XSHE,3.58
375,600868.XSHG,2.98
376,300592.XSHE,10.3
377,601318.XSHG,62.12
378,300282.XSHE,12.1
379,002120.XSHE,30.19
380,000552.XSHE,3.06
381,300637.XSHE,25.07
382,603559.XSHG,23.99
383,300360.XSHE,7.31
384,002205.XSHE,12.39
385,603326.XSHG,9.27
386,002686.XSHE,5.88
387,600773.XSHG,7.32
388,600243.XSHG,4.68
389,000811.XSHE,4.77
390,000816.XSHE,1.56
391,300137.XSHE,7.46
392,002078.XSHE,8.55
393,600073.XSHG,6.6
394,000733.XSHE,12.91
395,002249.XSHE,4.27
396,300383.XSHE,14.86
397,002590.XSHE,7.74
398,002060.XSHE,2.93
399,300485.XSHE,12.32
400,000520.XSHE,3.22
401,000839.XSHE,4.27
402,300562.XSHE,13.5
403,603596.XSHG,25.44
404,300021.XSHE,4.89
405,002451.XSHE,6.48
406,002835.XSHE,7.8
407,600070.XSHG,6.24
408,002530.XSHE,9.3
409,000421.XSHE,4.55
410,600239.XSHG,3.73
411,600269.XSHG,4.05
412,600722.XSHG,5.17
413,300607.XSHE,41.59
414,002829.XSHE,20.57
415,600636.XSHG,11.49
416,601818.XSHG,3.7
417,300509.XSHE,10.29
418,603658.XSHG,66.66
419,002503.XSHE,3.14
420,600698.XSHG,4.85
421,603277.XSHG,10.72
422,000851.XSHE,4.56
423,603113.XSHG,14.1
424,603730.XSHG,22.22
425,600518.XSHG,20.66
426,603019.XSHG,54.68
427,300285.XSHE,19.7
428,603077.XSHG,1.78
429,002345.XSHE,5.89
430,600119.XSHG,7.5
431,002417.XSHE,8.11
432,000738.XSHE,13.93
433,600249.XSHG,4.33
434,002463.XSHE,6.95
435,603896.XSHG,36.3
436,600486.XSHG,50.52
437,000673.XSHE,6.37
438,600108.XSHG,3.06
439,002262.XSHE,17.16
440,002010.XSHE,10.13
441,603027.XSHG,15.65
442,002294.XSHE,29.26
443,002649.XSHE,7.87
444,000793.XSHE,3.33
445,600251.XSHG,6.2
446,300447.XSHE,10.57
447,002208.XSHE,9.93
448,000687.XSHE,7.75
449,600415.XSHG,4.08
450,002589.XSHE,11.97
451,300747.XSHE,165.14
452,300534.XSHE,8.11
453,002181.XSHE,3.63
454,000543.XSHE,4.52
455,300134.XSHE,11.23
456,002380.XSHE,12.09
457,600611.XSHG,3.86
458,600499.XSHG,5.75
459,002491.XSHE,9.26
460,600816.XSHG,5.3
461,601633.XSHG,7.08
462,002075.XSHE,16.12
463,600028.XSHG,6.65
464,603239.XSHG,12.04
465,600507.XSHG,11.07
466,002752.XSHE,6.93
467,603663.XSHG,17.3
468,600170.XSHG,3.03
469,600220.XSHG,2.18
470,600004.XSHG,12.01
471,002360.XSHE,5.66
472,600436.XSHG,102.0
473,600843.XSHG,8.05
474,300732.XSHE,33.34
475,002585.XSHE,6.27
476,600080.XSHG,9.83
477,002039.XSHE,13.78
478,603991.XSHG,18.27
479,002652.XSHE,5.74
480,603701.XSHG,10.68
481,600834.XSHG,6.67
482,002860.XSHE,17.27
483,600919.XSHG,6.27
484,600330.XSHG,6.33
485,002837.XSHE,16.25
486,600556.XSHG,3.0
487,603690.XSHG,24.42
488,601019.XSHG,7.28
489,603989.XSHG,22.05
490,002513.XSHE,6.28
491,600107.XSHG,5.45
492,601968.XSHG,3.78
493,603199.XSHG,22.25
494,300371.XSHE,14.68
495,002442.XSHE,10.8
496,603169.XSHG,4.96
497,002550.XSHE,4.64
498,601258.XSHG,1.74
499,002366.XSHE,9.53
500,002478.XSHE,5.37
501,600400.XSHG,4.1
502,603916.XSHG,14.0
