证券代码,证券简称,现金流量比 2017一季,现金流量比 2017中报,现金流量比 2017三季,现金流量比 2017年报,现金流量比 2018一季,现金流量比 2018中报,估价全价 2017-10-10,估价修正久期 2017-10-10,估价全价 2018-09-14,估价修正久期 2017-12-29,估价全价 2018-06-29,估价修正久期 2018-06-29,估价修正久期 2018-03-30,估价修正久期 2018-09-14,估价全价 2017-12-29,估价全价 2018-03-30,"债项评级  2018-09-14 ","债项评级  2018-06-29 ","债项评级  2018-03-30 ","债项评级  2017-12-29 ","债项评级  2017-10-10 ","资产负债率  2017一季 ","资产负债率  2017中报 ","资产负债率  2017三季 ","资产负债率  2017年报 ","资产负债率  2018一季 ","资产负债率  2018中报 "
136541.SH,16希望02,,-0.1396,,-0.3003,,-0.0381,98.9262,1.633,100.2086,1.4149,102.2579,0.9476,1.1842,0.7898,99.0301,100.9394,AAA,AAA,AAA,AAA,AAA,,81.2126,,79.5365,,82.7925
136542.SH,16云工01,-0.0488,-0.0233,-0.0764,0.0573,-0.0401,-0.0737,94.9734,3.3658,96.6446,3.133,97.6101,2.6729,2.9081,2.6037,93.9054,96.1954,AA+,AA+,AA+,AA+,AA+,63.3889,65.2771,63.3347,62.9439,61.0229,62.9831
136543.SH,16龙湖05,,0.027,0.0008,0.0031,0.0011,0.0167,95.0488,1.6189,97.9321,1.4037,98.8722,0.9393,1.1764,0.7779,95.4325,97.6382,AAA,AAA,AAA,AAA,AAA,,64.4086,67.5083,66.7937,69.3347,68.6706
136544.SH,16联通03,0.0704,0.1506,0.2426,0.373,0.1003,0.2274,98.2017,1.6533,100.0657,1.435,101.431,0.9671,1.2025,0.8068,98.2844,99.9947,AAA,AAA,AAA,AAA,AAA,65.0019,64.234,63.6435,49.6184,48.8545,46.6372
136545.SH,16皖经02,0.1404,0.3567,0.478,0.2789,0.1018,0.4231,99.1839,1.5841,100.6457,1.3704,105.0146,0.9216,1.1586,0.7762,99.7553,103.6896,AA+,AA+,AA+,AA+,AA+,43.5625,41.5734,40.1503,39.9054,40.3904,37.8314
136546.SH,16龙湖06,,0.027,0.0008,0.0031,0.0011,0.0167,94.0244,3.3463,95.4117,3.1166,96.816,2.6556,2.8916,2.5713,93.2278,95.5036,AAA,AAA,AAA,AAA,AAA,,64.4086,67.5083,66.7937,69.3347,68.6706
136548.SH,16正源01,,-0.0352,,-0.3424,,0.0509,101.4991,1.5737,100.1472,1.3504,105.5447,0.8934,1.1251,0.7639,101.0731,103.6239,AA,AA,AA,AA,AA,,55.9181,,55.7912,,56.9515
136549.SH,16紫金03,0.0295,0.0962,0.1863,0.3391,0.0447,0.1654,96.048,1.6318,98.9816,1.4152,100.0399,0.9536,1.1866,0.7908,96.2953,98.3717,AAA,AAA,AAA,AAA,AAA,64.5038,61.5601,59.7589,57.854,58.0822,58.5431
136550.SH,16紫金04,0.0295,0.0962,0.1863,0.3391,0.0447,0.1654,96.1717,3.3936,98.1504,3.1618,99.2834,2.7066,2.935,2.6153,95.1436,97.2653,AAA,AAA,AAA,AAA,AAA,64.5038,61.5601,59.7589,57.854,58.0822,58.5431
136551.SH,16融侨01,,-0.1034,,-0.1656,,-0.0985,101.168,1.6087,100.5539,1.3931,104.9057,0.9261,1.1629,0.7808,101.5526,103.5665,AA,AA,AA,AA,AA,,81.2455,,79.7406,,82.3725
136552.SH,16圆融02,0.0013,0.0429,0.0849,0.2171,,0.401,95.9633,3.3929,98.0479,3.1609,99.253,2.708,2.9343,2.613,94.9121,97.0595,AAA,AAA,AAA,AAA,AAA,32.4149,33.5005,37.3773,37.0593,,42.9899
136553.SH,16联投01,0.0043,-0.0832,-0.001,-0.1156,0.0489,0.0786,95.1375,3.3749,97.6858,3.1509,98.6193,2.692,2.9253,2.6048,94.8304,97.0609,AAA,AAA,AAA,AAA,AAA,66.188,65.5549,68.681,69.0775,70.109,69.8843
136556.SH,16鸿坤02,,-0.087,,-0.0586,,0.0466,97.2772,1.6264,99.6028,1.4104,101.5297,0.9502,1.1825,0.7963,97.5949,99.7651,AAA,AAA,AAA,AAA,AAA,,80.7392,,79.1232,,79.184
136557.SH,16国寿投,,0.0857,,0.1665,,0.0443,96.3718,3.4283,98.3537,3.1953,99.4745,2.7415,2.9682,2.6422,95.2352,97.3301,AAA,AAA,AAA,AAA,AAA,,31.6911,,31.339,,30.4579
136558.SH,16华电02,0.0316,0.0601,0.1007,0.1837,0.0553,0.0871,97.9272,1.6697,99.8618,1.4504,101.1182,0.9833,1.2184,0.8167,97.9049,99.6616,AAA,AAA,AAA,AAA,AAA,81.5283,81.464,81.4628,80.7115,80.4044,80.0439
136559.SH,16华电03,0.0316,0.0601,0.1007,0.1837,0.0553,0.0871,96.9155,3.4361,97.8381,3.2029,99.928,2.7483,2.9754,2.6393,95.736,97.8075,AAA,AAA,AAA,AAA,AAA,81.5283,81.464,81.4628,80.7115,80.4044,80.0439
136560.SH,16齐成01,,0.1447,,0.1793,,0.1421,100.8886,1.5923,100.404,1.3797,105.6387,0.9189,1.1525,0.7855,101.5829,103.939,AA,AA,AA,AA,AA,,54.583,,57.6174,,49.1725
136561.SH,16老百姓,0.0969,0.1335,0.2172,0.1856,0.0774,0.112,98.061,1.6497,99.7281,1.4317,101.4311,0.9648,1.2012,0.8045,98.174,100.0959,AA,AA,AA,AA,AA,58.8711,60.2193,60.7862,53.7071,54.5858,57.765
136562.SH,16能建01,,-0.0418,,0.0211,,-0.0793,98.0331,1.6683,99.9196,1.4488,101.1809,0.9814,1.2167,0.8145,97.9977,99.7399,AAA,AAA,AAA,AAA,AAA,,74.29,,75.829,,74.3368
136563.SH,16福投02,0.0743,0.087,0.1613,0.1478,0.0367,-0.1888,93.9722,3.4018,96.0008,3.1664,96.7628,2.7114,2.9406,2.6199,92.668,94.8588,AAA,AAA,AAA,AAA,AAA,57.9629,57.3036,57.8978,58.8609,58.4407,60.3846
136564.SH,16东旭02,0.0376,0.0396,0.0181,0.0975,0.0011,0.1622,99.5267,1.6202,91.0386,1.4064,95.7985,0.8674,1.1136,0.7197,100.0814,95.5404,AA+,AA+,AA+,AA+,AA+,65.9424,66.6221,68.4623,68.0314,69.1188,63.5732
136566.SH,16福耀01,0.1105,0.1557,0.3015,0.497,0.103,0.1946,98.1919,1.6737,99.9962,1.4541,101.3077,0.9865,1.2219,0.8271,98.1406,99.8752,AAA,AAA,AAA,AAA,AAA,38.3356,43.1499,41.0267,40.0541,42.0366,46.2643
136567.SH,16凯华01,,0.0028,,0.5442,,0.2419,97.0704,1.6354,99.2238,1.4197,101.1829,0.9578,1.1917,0.8036,97.4189,99.5842,AA+,AA+,AA+,AA+,AA+,,52.1216,,52.561,,52.1028
136568.SH,16张江01,-0.0442,-0.0301,-0.0071,0.0428,-0.0407,-0.0379,97.8077,1.6822,99.7722,1.4632,100.964,0.9955,1.2307,0.8295,97.8169,99.5266,AAA,AAA,AAA,AAA,AAA,54.7457,55.0291,55.6961,54.5121,53.5367,54.1123
136569.SH,16海亮03,-0.0354,-0.0578,-0.0453,0.0624,-0.0101,0.0914,97.2396,1.6107,99.7802,1.3981,103.3545,0.952,1.1893,0.7999,97.8944,102.0811,AA+,AA+,AA+,AA+,AA+,66.5584,69.5884,62.9855,62.5468,63.2531,62.876
136570.SH,16中江债,,-0.0664,,-0.0477,,-0.0355,99.8839,1.6631,100.6264,1.4437,102.8905,0.9742,1.212,0.817,99.8654,101.6793,AA,AA,AA,AA,AA,,87.2773,,85.8202,,85.1215
136571.SH,16正源02,,-0.0352,,-0.3424,,0.0509,102.0287,1.6163,100.613,1.3757,105.9273,0.9348,1.1693,0.8009,99.7668,104.3195,AA,AA,AA,AA,AA,,55.9181,,55.7912,,56.9515
136572.SH,16现牧停,-0.0415,-0.0153,-0.0006,0.0877,0.0598,0.1632,99.441,1.6817,90.5569,1.4652,92.5401,0.8981,1.2355,0.7819,99.706,101.7539,AA,AA,AA,AA,AA,67.2785,68.4956,68.9804,60.9384,61.2132,58.9687
136573.SH,16港投债,0.0141,0.2079,,0.3866,,-0.0507,97.4198,1.6757,98.5536,1.4588,98.685,1.0121,1.2517,0.8401,97.6662,97.698,AA,AA,AA,AA,AA,50.5099,51.9929,,50.5841,,48.0353
136574.SH,16河西02,-0.2236,-0.0237,0.0481,0.0309,-0.0716,-0.0959,96.3094,2.6271,98.3892,2.4,99.3765,1.9389,2.1736,1.8166,95.9184,97.9593,AAA,AAA,AAA,AAA,AAA,64.4979,63.2839,62.9168,62.3715,61.9748,61.5019
136575.SH,16光控01,,,,,,,95.2027,1.6461,100.1682,1.4303,101.4682,0.9903,1.2263,0.8226,95.5225,100.1056,AAA,AAA,AAA,AAA,AAA,,,,,,
136576.SH,16光控02,,,,,,,95.7794,3.4272,97.881,3.1948,98.9799,2.7415,2.968,2.643,94.6843,96.806,AAA,AAA,AAA,AAA,AAA,,,,,,
136577.SH,16鲁能01,,0.1174,,0.2386,,0.0359,97.9694,1.6775,99.8793,1.4583,101.2355,0.9917,1.2271,0.8284,97.9592,99.8095,AAA,AAA,AA+,AA+,AA+,,75.1384,,74.7875,,71.9297
136578.SH,16小商02,-0.0817,0.0113,0.0511,0.0288,-0.0634,-0.0261,98.3584,1.6863,99.4515,1.4602,100.757,0.992,1.2291,0.835,97.6536,99.5011,AA+,AA+,AA+,AA+,AA+,53.702,53.1851,50.0573,51.6095,52.2078,48.7002
136579.SH,16华泰02,,0.0083,,0.1503,,0.0898,99.8554,1.6218,99.1358,1.4083,103.4931,0.9385,1.1805,0.7998,100.4502,102.7019,AA+,AA+,AA+,AA+,AA+,,67.7687,,69.492,,68.4321
136580.SH,16万达06,-0.0066,0.039,0.0467,0.1188,-0.0363,0.0626,92.6723,1.6222,97.1948,1.4114,98.945,0.9673,1.202,0.8036,93.4722,97.4569,AAA,AAA,AAA,AAA,AAA,70.6118,72.0518,68.4134,64.7583,61.5471,59.9319
136581.SH,16外高02,-0.0209,0.0227,0.0794,0.1997,-0.0452,-0.0446,100.0018,1.7067,100.8663,1.4847,102.2945,1.0112,1.2494,0.8428,99.7191,101.1514,AAA,AAA,AAA,AAA,AAA,66.1418,67.1606,66.3674,66.2283,65.8744,68.0172
136582.SH,16国联02,-0.0026,-0.1254,-0.1596,-0.1564,0.0144,-0.0231,96.8431,1.6767,99.0794,1.459,100.2554,0.9927,1.2274,0.8278,96.9827,98.764,AAA,AAA,AAA,AAA,AAA,62.2455,60.0757,61.6163,61.3747,61.4079,63.3485
136583.SH,16北新集,,-0.095,,-0.0209,,-0.0826,98.5946,1.6696,99.9352,1.4517,102.0561,0.9854,1.2215,0.8295,98.7189,100.6814,AA,AA,AA,AA,AA,,22.3343,,19.9441,,18.8123
136584.SH,16铁牛债,,-0.0162,,0.0509,,0.0096,100.0403,0.7372,100.9634,0.5324,105.4936,0.0706,0.3037,0.822,101.5391,103.744,AA+,AA+,AA+,AA+,AA+,,73.4949,,69.2166,,68.9556
136585.SH,16广汇G3,-0.1437,-0.1135,-0.0599,0.0447,-0.1692,-0.2099,99.8128,1.6298,99.7063,1.4169,104.4414,0.9557,1.1896,0.8283,100.4622,102.7871,AA,AA,AA,AA,AA,72.929,73.322,72.4493,71.2759,67.7857,67.673
136586.SH,16中合01,,-0.1438,0.1863,-0.0228,0.1986,0.3893,96.5861,1.7621,98.9188,1.5439,100.2764,1.0807,1.3144,0.9212,96.6734,98.671,AAA,AAA,AAA,AAA,AAA,,28.5677,30.0417,29.5176,28.5979,28.8695
136587.SH,16水务01,,,,,,-0.0543,97.2222,1.6805,99.784,1.4677,101.0187,1.0001,1.2353,0.8347,97.8591,99.5741,AAA,AAA,AAA,AAA,AAA,,66.2989,,,,66.6519
136588.SH,16水务02,,,,,,-0.0543,94.5907,3.4226,96.7893,3.191,97.6165,2.7347,2.9645,2.643,93.6133,95.761,AAA,AAA,AAA,AAA,AAA,,66.2989,,,,66.6519
136589.SH,16融侨02,,-0.1034,,-0.1656,,-0.0985,102.221,1.6624,99.8304,1.4444,103.9031,0.9603,1.1965,0.8141,102.3633,102.5094,AA,AA,AA,AA,AA,,81.2455,,79.7406,,82.3725
136590.SH,16海伟01,,0.2318,,0.3505,,0.0663,101.441,1.6556,100.5249,1.4393,104.9693,0.971,1.2086,0.8348,101.7416,103.7067,AA+,AA+,AA+,AA+,AA+,,36.4665,,33.2748,,34.448
136591.SH,16西经发,,0.0245,,0.1609,,0.0879,96.0333,1.6587,98.6566,1.4427,100.2159,0.9822,1.2154,0.8276,96.3467,98.568,AA,AA,AA,AA,AA,,81.6741,,81.1892,,82.348
136592.SH,16鄂稻01,,-0.0003,,0.182,,0.0047,100.9794,1.6336,100.2804,1.42,105.4706,0.9578,1.1923,0.8232,101.5801,103.8653,AA,AA,AA,AA,AA,,57.8239,,57.1791,,54.712
136593.SH,16新华01,,0.0207,,0.0484,,0.0128,97.7558,1.6831,99.4985,1.4643,100.9074,0.9963,1.2333,0.8327,97.7876,99.6429,AA+,AA+,AA+,AA+,AA+,,65.5552,,65.2728,,65.8285
136594.SH,16同仁堂,,0.2052,,0.485,,0.2159,97.5643,1.6935,99.6431,1.4741,100.7719,1.0073,1.2428,0.842,97.532,99.3629,AA+,AA+,AA+,AA+,AA+,,31.4497,,27.2218,,29.3127
136595.SH,16南港03,0.002,-0.3131,-0.1146,-0.2948,-0.1142,-0.1283,95.2646,3.4683,96.608,3.2385,97.0128,2.7665,3.0125,2.6787,94.4047,96.5867,AA+,AA+,AA+,AA+,AA+,67.4159,68.206,69.7979,66.4113,63.6641,65.0107
136596.SH,16南港04,0.002,-0.3131,-0.1146,-0.2948,-0.1142,-0.1283,93.3608,5.0624,93.6423,4.8189,94.2203,4.3453,4.5938,4.3339,91.7979,93.8584,AA+,AA+,AA+,AA+,AA+,67.4159,68.206,69.7979,66.4113,63.6641,65.0107
136597.SH,16石大01,,0.0408,,0.0185,,0.1164,100.3974,1.6611,99.1478,1.4451,103.0057,0.9681,1.2148,0.8222,100.73,102.719,AA,AA,AA,AA,AA,,53.0251,,50.7323,,53.4309
136598.SH,16首旅01,0.0329,0.0815,0.1615,0.1831,0.0131,0.0513,94.6507,3.4484,96.9547,3.2163,97.986,2.7645,2.9901,2.6656,93.6054,95.7649,AAA,AAA,AAA,AAA,AAA,62.651,62.8621,60.4011,56.8921,57.621,57.3049
136599.SH,16首旅02,0.0329,0.0815,0.1615,0.1831,0.0131,0.0513,95.0472,3.4439,97.2616,3.2118,98.3885,2.7599,2.9855,2.6634,93.9981,96.1628,AAA,AAA,AAA,AAA,AAA,62.651,62.8621,60.4011,56.8921,57.621,57.3049
136600.SH,16穗建01,,-0.0014,,-0.0024,,0.0364,97.7717,1.6956,99.7386,1.4761,100.9529,1.0091,1.2441,0.8493,97.7317,99.4916,AAA,AAA,AAA,AAA,AAA,,66.1126,,64.7672,,64.253
136601.SH,16穗建02,,-0.0014,,-0.0024,,0.0364,95.7518,1.674,98.7033,1.4574,99.7505,0.996,1.2282,0.8324,95.9871,98.0086,AAA,AAA,AAA,AAA,AAA,,66.1126,,64.7672,,64.253
136602.SH,16泰豪02,-0.1245,-0.2966,-0.3405,-0.0741,-0.0527,-0.1114,99.8383,1.6876,100.5372,1.4683,102.9371,0.9996,1.237,0.8445,99.8339,101.6861,AA,AA,AA,AA,AA,52.3147,51.209,55.0814,63.0888,60.6309,61.4375
136603.SH,16义市01,-0.0724,0.0399,,0.0903,,-0.0017,95.0667,3.438,97.2041,3.2064,98.2758,2.7523,2.9801,2.6603,94.0658,96.2209,AA+,AA+,AA+,AA+,AA+,58.0785,56.8426,,55.821,,53.1221
136604.SH,16兴发02,,0.0581,,0.2376,,0.0636,97.8541,1.6501,100.2683,1.4492,103.6367,0.9877,1.2214,0.8465,99.7302,101.9706,AA,AA,AA,AA,AA,,69.8885,,67.6776,,67.1479
136605.SH,G16北控1,,,,,,-0.0543,94.5095,3.4454,96.7058,3.2135,97.4698,2.7569,2.9869,2.6629,93.5014,95.6314,AAA,AAA,AAA,AAA,AAA,,66.2989,,,,66.6519
136607.SH,16宁安01,-0.0664,-0.0741,0.1398,-0.0608,-0.0407,0.1644,97.8465,1.7202,99.6922,1.5013,100.9233,1.0326,1.2692,0.8667,97.8781,99.6159,AAA,AAA,AAA,AAA,AAA,68.9066,65.8785,65.4786,64.8589,65.6075,65.5977
136608.SH,16广新04,-0.0263,-0.0263,0.0256,0.0904,-0.0173,0.0901,93.5415,3.439,95.8771,3.2087,96.319,2.7487,2.9829,2.6628,92.6637,94.8524,AA+,AA+,AA+,AA+,AA+,66.9519,67.6511,65.0825,65.5892,64.0211,63.7536
136609.SH,16舟交01,0.0078,0.2236,0.119,0.1294,0.0871,0.1796,94.3037,3.4548,96.096,3.2206,96.4811,2.7578,2.9942,2.6706,93.0649,95.2089,AA+,AA+,AA+,AA+,AA+,40.7175,42.7181,42.6766,46.3497,48.0244,49.3008
136610.SH,16信威03,,-0.0871,,-0.1213,,0.008,99.0813,1.6326,91.7881,1.4207,97.0596,0.8961,1.1947,0.7577,99.8392,102.2806,AA,AA,AA,AA,AA,,35.4493,,42.5411,,42.7753
136611.SH,16电投04,0.0139,0.0389,0.0782,0.1001,0.0132,0.0239,97.708,1.7254,99.6433,1.5056,100.8406,1.0384,1.2736,0.8721,97.6391,99.389,AAA,AAA,AAA,AAA,AAA,82.2021,82.6085,82.9089,81.3829,81.5677,81.444
136612.SH,16不动产,-0.2028,-0.1462,-0.4007,-0.06,0.1157,0.1071,92.7462,3.4278,97.3555,3.2242,98.3404,2.7694,2.9973,2.6736,94.2061,96.3245,AAA,AAA,AAA,AAA,AAA,60.8894,61.3088,60.9867,61.6649,62.908,66.9513
136613.SH,16西王03,0.0302,0.0821,0.1686,0.454,0.2367,0.4871,94.2058,1.5704,85.4228,1.3656,86.9623,0.7865,1.0798,0.6895,95.6234,91.7828,AA+,AA,AA,AA+,AA+,66.2288,63.8244,62.6857,63.773,59.0893,58.7308
136614.SH,16碱业01,,0.0594,,0.153,,0.0947,96.8216,1.6971,98.9528,1.4795,100.3763,1.0143,1.2499,0.8535,96.9733,98.964,AA,AA,AA,AA,AA,,59.2385,,56.7886,,55.1207
136615.SH,16碱业02,,0.0594,,0.153,,0.0947,95.3587,3.4195,96.5485,3.189,98.1505,2.7289,2.9631,2.6454,94.462,96.6728,AA,AA,AA,AA,AA,,59.2385,,56.7886,,55.1207
136616.SH,16上实01,,0.2232,,0.3607,,0.2014,97.8902,1.7121,99.48,1.4933,101.1249,1.026,1.2627,0.8654,97.9288,99.8222,AA,AA,AA,AA,AA,,47.7145,,53.4909,,56.2507
136617.SH,16正集02,-0.0016,-0.0137,0.0294,0.0965,-0.035,-0.0067,98.0054,1.7129,99.8131,1.4937,101.3309,1.0277,1.2628,0.8668,97.9948,99.8712,AA+,AA+,AA+,AA+,AA+,64.3525,64.4924,64.5983,65.0182,64.5553,65.8607
136619.SH,16中静02,,0.002,,-0.0198,,-0.0178,99.3388,2.509,98.4055,2.2889,103.1812,1.8272,2.0653,1.7448,99.3502,101.9441,AA,AA,AA,AA,AA,,46.8357,,34.6865,,33.4291
136620.SH,16锡交01,0.1452,0.0526,-0.0681,0.1514,0.0253,0.029,94.3815,3.4693,96.1422,3.2348,96.487,2.7716,3.0082,2.6825,93.1122,95.2355,AA+,AA+,AA+,AA+,AA+,52.4357,54.0303,54.755,53.2821,53.9968,53.5495
136621.SH,16粤高02,,0.2877,,0.5858,,0.3467,86.6926,10.3219,86.5718,9.9464,87.4217,9.5641,9.7664,9.8145,82.4082,85.2375,AAA,AAA,AAA,AAA,AAA,,74.5181,,75.3568,,75.7695
136624.SH,16融创07,,0.1049,,0.2299,,0.0747,82.8632,3.2738,86.3471,3.0543,88.6921,2.622,2.8387,2.5459,82.978,85.8418,AAA,AAA,AAA,AAA,AAA,,90.9307,,91.9026,,91.8396
136625.SH,G16节能1,-0.0026,0.0386,0.102,0.1521,-0.0201,0.0681,97.5222,1.7441,98.65,1.5242,99.5423,1.0463,1.2922,0.8822,97.4417,99.1906,AAA,AAA,AAA,AAA,AAA,67.6445,67.6683,69.0629,69.9508,69.2457,70.4942
136626.SH,G16节能2,-0.0026,0.0386,0.102,0.1521,-0.0201,0.0681,94.1559,3.4932,95.8121,3.2747,96.6224,2.7996,3.0477,2.7013,94.3074,96.408,AAA,AAA,AAA,AAA,AAA,67.6445,67.6683,69.0629,69.9508,69.2457,70.4942
136627.SH,16精控02,,0.0075,,-0.0329,,0.0069,101.645,1.6801,100.4864,1.4646,105.4493,0.998,1.2347,0.8588,102.0181,104.0904,AA+,AA+,AA+,AA+,AA+,,67.3353,,70.2695,,70.6071
136628.SH,16杭汽01,0.0788,0.1121,0.0774,0.1761,-0.0539,-0.0154,92.4022,3.3947,94.1688,3.1664,95.7926,2.7109,2.9427,2.6342,91.7483,94.12,AA+,AA+,AA+,AA+,AA+,71.2998,71.488,74.5045,74.358,75.5838,73.1463
136629.SH,16兵装01,-0.0454,-0.0477,-0.0607,0.0516,-0.0487,-0.0531,94.903,1.7124,98.1516,1.4959,99.0111,1.0357,1.2673,0.8718,95.1577,97.2214,AAA,AAA,AAA,AAA,AAA,68.2479,67.831,67.5929,68.9597,67.5109,67.8171
136630.SH,16兵装02,-0.0454,-0.0477,-0.0607,0.0516,-0.0487,-0.0531,92.3997,3.4705,95.1237,3.2395,95.9999,2.79,3.0144,2.6903,91.4652,93.6952,AAA,AAA,AAA,AAA,AAA,68.2479,67.831,67.5929,68.9597,67.5109,67.8171
136631.SH,16南瑞01,-0.1515,-0.0655,-0.0613,0.1413,-0.057,-0.0934,97.7879,1.7418,99.6658,1.5215,100.8005,1.0537,1.2892,0.8918,97.672,99.3861,AAA,AAA,AAA,AAA,AAA,44.1621,48.1979,46.9898,47.7451,45.5585,39.8255
136632.SH,16亚洲浆,,0.0381,,0.2031,,0.0759,99.3724,1.686,99.2254,1.4725,103.8525,1.0108,1.2451,0.8726,99.9597,102.2537,AAA,AAA,AAA,AAA,AAA,,61.6931,,58.1142,,57.9895
136633.SH,16融创06,,0.1049,,0.2299,,0.0747,91.6683,1.6645,95.3214,1.4544,96.8603,0.9997,1.2305,0.8396,92.5199,95.0125,AAA,AAA,AAA,AAA,AAA,,90.9307,,91.9026,,91.8396
136634.SH,16黔高速,0.0485,0.1072,0.1295,0.2417,0.0168,0.071,95.9016,3.5833,96.2261,3.2389,96.7531,2.7628,2.9987,2.6795,94.5064,95.455,AAA,AAA,AAA,AAA,AAA,69.5357,68.9768,69.594,71.8433,72.3641,70.8132
136635.SH,16津投03,-0.0071,0.0371,0.0452,0.0381,-0.0004,0.0454,91.1667,7.2841,91.0145,6.9989,92.2953,6.5619,6.781,6.6384,88.0349,90.1887,AAA,AAA,AAA,AAA,AAA,66.529,66.6287,66.7678,66.5381,67.2807,66.9739
136636.SH,16供销01,-0.0203,0.0205,0.0436,0.0838,-0.0057,0.0144,97.8283,1.7389,99.6964,1.5186,100.8603,1.0509,1.2869,0.891,97.7161,99.4975,AAA,AAA,AAA,AAA,AAA,83.7864,82.4973,83.6703,82.6628,82.8515,81.5862
136637.SH,16巨化01,0.0035,0.0257,0.0485,0.0434,0.0176,0.0977,98.0926,1.7316,99.3965,1.5097,100.9867,1.0422,1.2789,0.887,97.8119,99.6952,AA+,AA+,AA+,AA+,AA+,58.8478,61.4303,63.3786,63.2824,63.7095,65.3139
136638.SH,16海资01,0.0568,0.0697,0.0974,0.2678,0.0695,0.0227,93.8313,4.365,93.7652,4.1317,94.2247,3.6405,3.8767,3.5958,93.0458,92.9511,AA+,AA+,AA+,AA+,AA+,57.2506,57.7292,57.4928,56.7571,55.4286,54.6036
136639.SH,16皖投02,0.0013,0.0182,0.0259,0.0019,0.0011,0.0029,96.0318,1.7256,99.7788,1.5069,100.984,1.0568,1.2939,0.89,96.0728,99.7341,AAA,AAA,AAA,AAA,AAA,58.9196,56.5466,57.8945,59.0967,61.1171,60.6304
136640.SH,16海亮04,-0.0354,-0.0578,-0.0453,0.0624,-0.0101,0.0914,99.1732,0.7968,100.5261,0.5884,103.8595,0.1237,0.3569,0.8673,100.2763,102.1449,AA+,AA+,AA+,AA+,AA+,66.5584,69.5884,62.9855,62.5468,63.2531,62.876
136641.SH,16海亮05,-0.0354,-0.0578,-0.0453,0.0624,-0.0101,0.0914,98.1599,1.6807,98.6873,1.4668,102.3984,1.0038,1.2388,0.8572,98.6863,100.8858,AA+,AA+,AA+,AA+,AA+,66.5584,69.5884,62.9855,62.5468,63.2531,62.876
136642.SH,16国航01,0.0385,0.1666,0.2803,0.3678,0.1036,0.172,97.4391,1.7446,99.4745,1.5247,100.5475,1.0575,1.2927,0.8956,97.3536,99.0991,AAA,AAA,AAA,AAA,AAA,61.7205,61.0963,60.5369,59.7265,58.404,59.8259
136643.SH,16华宇02,,-0.1908,-0.1011,-0.0878,,0.0403,99.8786,1.7027,99.5537,1.4863,103.3864,1.0183,1.2559,0.8689,100.1669,102.1338,AA,AA,AA,AA,AA,,61.2525,65.8545,64.6351,,67.9671
136644.SH,16天地01,-0.0239,-0.0164,0.0279,0.0954,-0.0577,-0.0422,98.5376,1.7194,99.7147,1.5022,102.3552,1.0384,1.2733,0.8896,98.7393,100.8378,AA+,AA+,AA+,AA+,AA+,46.0973,46.2643,46.6368,45.7774,45.1381,45.7627
136645.SH,16百隆01,-0.1809,-0.0037,0.0545,0.1436,-0.0433,-0.0702,97.8141,1.7398,99.3633,1.5209,101.0454,1.0537,1.2903,0.8938,97.8373,99.7365,AA,AA,AA,AA,AA,35.9121,37.4515,38.7286,37.7425,39.5305,42.3266
136646.SH,16中海01,,-0.2055,-0.1922,-0.2874,-0.0794,0.0476,90.7326,3.4707,95.7531,3.3156,96.6662,2.8167,3.0416,2.7161,96.4981,94.3973,AAA,AAA,AAA,AAA,AAA,,65.6515,67.0062,67.1514,68.9706,71.7776
136647.SH,16华新01,0.0297,0.1196,0.2311,0.4225,0.072,0.2659,97.5892,3.3987,98.6738,3.1681,101.2001,2.7157,2.9434,2.6545,96.7184,99.0749,AAA,AAA,AA+,AA+,AA+,61.9983,59.174,58.7316,56.866,53.8706,51.8298
136648.SH,16佳源01,,0.096,0.1814,0.0971,0.005,0.004,101.2294,1.7007,100.1906,1.485,105.0364,1.0186,1.2554,0.8788,101.5981,103.6777,AA,AA,AA,AA,AA,,78.2943,79.0002,78.7734,79.3409,77.4153
136649.SH,16佳源02,,0.096,0.1814,0.0971,0.005,0.004,100.8138,0.8153,100.5,0.6059,105.294,0.1396,0.3737,0.8808,101.8324,103.6493,AA,AA,AA,AA,AA,,78.2943,79.0002,78.7734,79.3409,77.4153
136650.SH,16普天01,-0.0279,-0.0158,0.0034,0.1026,0.0066,-0.0159,96.1103,1.7277,98.3177,1.5098,99.4114,1.0428,1.2805,0.88,96.228,98.2285,AAA,AAA,AAA,AAA,AAA,67.8467,69.5787,68.2489,65.7656,64.7823,66.7019
136651.SH,16普天02,-0.0279,-0.0158,0.0034,0.1026,0.0066,-0.0159,93.429,3.4679,94.902,3.237,96.0832,2.7763,3.0115,2.6824,92.5023,94.7138,AAA,AAA,AAA,AAA,AAA,67.8467,69.5787,68.2489,65.7656,64.7823,66.7019
136652.SH,16洪政02,0.049,0.0368,0.1085,0.0216,-0.0198,-0.0418,91.9887,3.4706,97.0182,3.2425,97.716,2.8137,3.0181,2.7193,91.3226,93.6233,AAA,AAA,AAA,AAA,AAA,64.5628,62.8134,65.0468,64.2123,66.3646,67.5002
136653.SH,16清控01,-0.0635,-0.082,-0.1267,0.0253,-0.051,-0.0574,98.4206,1.7692,99.9505,1.5479,101.1781,1.0784,1.3147,0.9111,98.2089,99.8454,AAA,AAA,AAA,AAA,AAA,62.402,63.3811,65.7178,66.0318,68.2638,70.1748
