证券代码,证券简称,现金流量比 2017一季,现金流量比 2017中报,现金流量比 2017三季,现金流量比 2017年报,现金流量比 2018一季,现金流量比 2018中报,估价全价 2017-10-10,估价修正久期 2017-10-10,估价全价 2018-09-14,估价修正久期 2017-12-29,估价全价 2018-06-29,估价修正久期 2018-06-29,估价修正久期 2018-03-30,估价修正久期 2018-09-14,估价全价 2017-12-29,估价全价 2018-03-30,"债项评级  2018-09-14 ","债项评级  2018-06-29 ","债项评级  2018-03-30 ","债项评级  2017-12-29 ","债项评级  2017-10-10 ","资产负债率  2017一季 ","资产负债率  2017中报 ","资产负债率  2017三季 ","资产负债率  2017年报 ","资产负债率  2018一季 ","资产负债率  2018中报 "
124341.SH,PR吐番资,,0.1931,,-0.6486,,0.0784,51.3794,1.2239,25.5795,1.0093,53.4565,0.5439,0.7791,0.8602,51.6876,52.6757,AA,AA,AA,AA,AA,,34.3046,,41.3078,,40.5763
124343.SH,PR阳江债,,0.0898,,0.8202,,0.406,61.9672,1.745,40.4748,1.5235,63.6741,1.0483,1.2926,1.3702,62.051,63.1515,AA,AA,AA,AA,AA,,46.0843,,46.05,,47.2187
124344.SH,PR沪南房,,0.1088,,-0.2657,,-0.1662,51.3629,1.3179,25.5447,1.1006,53.1068,0.6319,0.8689,0.9444,51.536,52.435,AA,AA,AA,AA,AA,,60.5266,,60.6668,,60.5253
124345.SH,PR京煤债,-0.024,0.053,0.1235,0.1853,0.0643,0.1142,59.89,1.7211,40.0011,1.5018,62.4854,1.0427,1.2756,1.3694,60.1064,61.4417,AA+,AA+,AA+,AA+,AA+,58.5998,58.3853,59.1919,56.4193,57.4588,57.8174
124347.SH,13石建投,,-0.0602,,0.0016,,-0.0106,102.769,1.7359,101.1075,1.513,106.3109,1.0475,1.2863,1.8098,102.9598,105.008,AAA,AAA,AAA,AAA,AAA,,22.6459,,25.8143,,25.842
124348.SH,PR京谷财,-0.0322,0.0671,0.0806,-0.0189,-0.1165,-0.0865,62.2014,1.7485,41.2698,1.5248,64.0754,1.0573,1.2956,1.3879,62.1662,63.3276,AA,AA,AA,AA,AA,54.5697,58.9113,56.6522,51.4893,52.5365,53.8738
124349.SH,PR福东海,,-0.0826,,0.0621,,-0.0272,62.5751,1.762,41.4506,1.5384,64.5041,1.0715,1.3095,1.4036,62.5458,63.733,AA,AA,AA,AA,AA,,59.0539,,60.9162,,62.2551
124350.SH,晋煤暂停,0.022,0.0471,0.1329,0.0476,,0.0355,98.5136,1.9912,102.4687,1.7855,100.291,1.4364,1.6702,1.2464,99.9057,98.7011,AAA,AAA,AAA,AAA,AAA,86.8229,86.3374,86.1641,86.261,,85.7098
124352.SH,PR平凉债,,-1.9562,,-2.5314,,,62.2782,1.7667,65.5456,1.5436,64.3066,1.0778,1.3153,0.8903,62.2783,63.4987,AA,AA,AA,AA,AA,,64.5816,,62.7172,,
124353.SH,PR商洛01,,-0.2123,,-0.281,,0.0142,62.1029,1.7422,41.206,1.5196,64.2064,1.0545,1.2916,1.3867,62.1381,63.3765,AAA,AAA,AA+,AA+,AA+,,71.1923,,77.6121,,74.1043
124354.SH,PR商洛02,,-0.2123,,-0.281,,0.0142,51.2172,1.3138,25.4923,1.0972,53.0535,0.6296,0.866,0.942,51.4198,52.3492,AAA,AAA,AA+,AA+,AA+,,71.1923,,77.6121,,74.1043
124356.SH,PR珠汇华,,0.3856,,0.2291,,-0.0603,61.9889,1.7593,65.4209,1.5369,64.1467,1.0725,1.3093,0.8855,62.0328,63.2936,AAA,AAA,AAA,AAA,AAA,,32.3941,,31.1403,,31.4249
124357.SH,津房暂停,,0.0337,,-0.0048,,0.0779,103.429,2.5324,100.8233,1.4465,105.2134,0.0953,2.0781,1.7349,103.1865,105.0207,AAA,AAA,AAA,AAA,AAA,,85.8086,,96.846,,97.3555
124360.SH,PR成阿债,,-0.05,,-0.5081,,0.0342,62.2003,1.749,40.5823,1.5277,63.9541,1.053,1.297,1.3758,62.2948,63.4142,AA+,AA+,AA+,AA+,AA+,,51.5205,,46.2862,,47.1714
124361.SH,PR京科城,,-0.335,,-1.0501,,-3.0764,51.0943,1.3552,53.6114,1.1383,52.8423,0.67,0.9062,0.475,51.2778,52.1518,AAA,AAA,AAA,AAA,AAA,,58.7178,,62.6521,,48.7228
124362.SH,PR钦滨海,,-0.5115,,0.3531,,-0.4698,62.4113,1.7138,41.3816,1.491,64.4293,1.0246,1.2624,1.3565,62.4323,63.6348,AA+,AA+,AA+,AA+,AA+,,48.328,,48.8878,,47.4388
124364.SH,PR临尧都,,-0.0484,,0.1629,,0.1199,61.1112,1.7734,64.1402,1.5534,63.1138,1.0818,1.3241,0.8875,61.2787,62.4794,AA,AA,AA,AA,AA,,34.5745,,35.4905,,34.0232
124365.SH,PR昌润债,-0.0343,0.021,0.0125,-0.0816,-0.0321,-0.0174,61.9472,1.7632,65.2465,1.5403,64.0037,1.0749,1.3121,0.8875,61.9604,63.1869,AA,AA,AA,AA,AA,54.4848,53.7113,51.8711,50.2404,51.0317,48.9371
124367.SH,PR锡城发,0.0004,0.1835,0.2558,0.2543,-0.0189,0.0048,86.0517,1.3069,64.4219,1.6169,63.2745,1.1528,1.3882,0.9639,61.2331,62.408,AAA,AAA,AAA,AAA,AAA,71.542,71.0544,70.911,71.4746,71.4286,71.0027
124370.SH,PR虞新区,,0.0621,,0.1862,,0.0114,87.4539,1.295,65.0263,1.6061,63.7314,1.1368,1.3735,0.9503,61.8629,62.8854,AA,AA,AA,AA,AA,,46.7116,,42.153,,42.1914
124371.SH,PR北辰发,-0.011,-0.0187,-0.0396,-0.0307,,0.0283,85.3602,1.7968,63.6464,1.5697,62.179,1.6393,1.342,1.4556,85.3377,86.9412,AA+,AA+,AA+,AA+,AA+,67.3565,68.2742,68.501,68.2581,,68.6161
124373.SH,PR平天湖,,0.212,,-0.0502,,0.0691,86.9919,1.2985,64.2125,1.6146,63.1554,1.1438,1.3857,0.95,61.2737,62.5005,AA,AA,AA,AA,AA,,35.1682,,32.8981,,33.0789
124374.SH,PR塔国资,,-0.3688,,0.062,,0.0047,82.0974,0.889,53.8924,1.1922,53.1441,0.7206,0.9607,0.5238,51.6739,52.5963,AA,AA,AA,AA,AA,,25.3854,,29.5671,,30.4619
124375.SH,13鄂供销,0.1051,0.1481,0.1195,0.1697,,0.1024,101.9465,1.8448,105.5697,1.615,104.0595,1.1468,1.3848,0.9498,100.8444,102.8469,AA+,AA+,AA+,AA+,AA+,71.8972,69.8096,71.4471,72.5293,,70.6665
