,code,name
317,131669.SH,上实A9
318,131668.SH,上实A8
319,131667.SH,上实A7
320,131660.SH,上实A6
321,131670.SH,上实A10
322,146607.SH,上实6A6
323,146606.SH,上实6A5
324,146605.SH,上实6A4
325,146604.SH,上实6A3
326,142524.SH,上实3A6
327,142321.SH,上实2B2
328,116866.SZ,尚隽03A
329,116799.SZ,尚隽02A
330,116704.SZ,尚隽01A
331,149185.SH,山财大10
332,149184.SH,山财大09
333,149183.SH,山财大08
334,149182.SH,山财大07
335,149181.SH,山财大06
336,149180.SH,山财大05
337,149179.SH,山财大04
338,149178.SH,山财大03
339,149177.SH,山财大02
340,149176.SH,山财大01
341,131239.SH,三局优
342,150268.SH,S18云电1
343,149093.SH,睿信2号
344,149442.SH,融鑫3A2
345,149441.SH,融鑫3A1
346,146591.SH,融鑫2
347,131757.SH,融和F1B
348,131756.SH,融和F1A
349,131768.SH,融创物10
350,131767.SH,融创物09
351,131766.SH,融创物08
352,131765.SH,融创物07
353,131764.SH,融创物06
354,131763.SH,融创物05
355,142328.SH,融创A
356,142190.SH,青租赁05
357,142189.SH,青租赁04
358,149678.SH,青山湖04
359,149677.SH,青山湖03
360,149676.SH,青山湖02
361,149675.SH,青山湖01
362,146044.SH,青城租A5
363,146043.SH,青城租A4
364,146042.SH,青城租A3
365,149241.SH,青城3A2
366,146853.SH,PR中元1A
367,124481.SH,PR镇投02
368,124458.SH,PR镇投01
369,149027.SH,PR浙商2A
370,142371.SH,PR中融A2
371,146005.SH,PR正奇A2
372,124356.SH,PR珠汇华
373,127069.SH,PR准国投
374,146901.SH,PR中飞01
375,149094.SH,PR中电3A
376,142553.SH,PR中百A
377,146041.SH,PR租A2
378,149533.SH,PR租A1
379,131609.SH,PR中2A11
380,131608.SH,PR中2A10
381,142283.SH,PR郑1A2
382,122640.SH,PR仪征债
383,123019.SH,PR阳纸业
384,146425.SH,PR易鑫A
385,146720.SH,PR易鑫4A
386,142065.SH,PR优先
387,149339.SH,PR豫盛A1
388,122673.SH,PR渝李渡
389,127166.SH,PR洋口港
390,131342.SH,PR粤科B
391,122553.SH,PR虞交通
392,124781.SH,PR渝江02
393,124707.SH,PR渝江01
394,124328.SH,PR渝鸿业
395,124009.SH,PR渝惠农
396,124420.SH,PR盐国资
397,146388.SH,PR优过
398,122760.SH,PR渝富债
399,124336.SH,PR渝地债
400,122607.SH,PR渝地产
401,123735.SH,PR远东B
402,149069.SH,PR悦达A
403,142556.SH,PR远东6A
404,142392.SH,PR远东5A
405,142151.SH,PR远东4A
406,131848.SH,PR远东3A
407,146376.SH,PR远东2A
408,131708.SH,PR远东2A
409,131452.SH,PR远东1A
410,149423.SH,PR悦达1A
411,149355.SH,PRYD01A
412,124768.SH,PR云城投
413,124339.SH,PR渝城投
414,124555.SH,PR余城集
415,122701.SH,PR余城建
416,149257.SH,PR翌成A1
417,142344.SH,PR优B
418,149145.SH,PR一A2
419,146407.SH,PR一A2
420,142297.SH,PR一A2
421,142054.SH,PR优A2
422,149124.SH,PR优A1
423,142911.SH,PR优A
424,142953.SH,PR优A
425,142871.SH,PR粤2A2
426,146076.SH,PR优2
427,149263.SH,PR垠1A2
428,149024.SH,PR优1
429,149000.SH,PR业01
430,149728.SH,PR优01
431,146035.SH,PR新生1B
432,131673.SH,PR兴乾6
433,131711.SH,PR兴乾5
434,131007.SH,PR兴乾2
435,124011.SH,PR锡科技
436,127100.SH,PR新交投
437,124217.SH,PR西高新
438,122648.SH,PR宣国投
439,131411.SH,PR先锋B
440,124593.SH,PR相城投
441,124367.SH,PR锡城发
442,127068.SH,PR新昌02
443,127018.SH,PR新昌01
444,124669.SH,PR西保02
445,124599.SH,PR西保01
446,146184.SH,PR鑫安A2
447,149164.SH,PRX6A4
448,149161.SH,PRX6A1
449,131094.SH,PRX2B
450,142491.SH,PR皖新1A
451,149349.SH,PR皖新1A
452,127176.SH,PR武铁02
453,124176.SH,PR武地铁
454,122620.SH,PR乌城投
455,131138.SH,PR五A3
456,149148.SH,PR五A
457,124407.SH,PR泰州债
458,127073.SH,PR铁暂停
459,124557.SH,PR天易02
460,124464.SH,PR天易01
461,124660.SH,PR桐庐投
462,124550.SH,PR桃城投
463,149407.SH,PR上雅优
464,124124.SH,PR双鸭山
465,122645.SH,PR苏园建
466,142576.SH,PR实业A
467,124870.SH,PR嵊投控
468,142739.SH,PR双塔A
469,124899.SH,PR穗铁03
470,124805.SH,PR穗铁02
471,124623.SH,PR穗铁01
472,131659.SH,PR上实A5
473,131297.SH,PR苏帕03
474,124354.SH,PR商洛02
475,122698.SH,PR双流01
476,124353.SH,PR商洛01
477,124570.SH,PR首开02
478,124490.SH,PR首开01
479,146023.SH,PR搜候优
480,124878.SH,PR苏高新
481,127161.SH,PR石国控
482,142602.SH,PR苏广A
483,124033.SH,PR苏城投
484,122602.SH,PR松城投
485,124159.SH,PR绍城改
486,142818.SH,PR首创02
487,142474.SH,PR三胞A
488,131792.SH,PR斯A3
489,123897.SH,PR四A2
490,142320.SH,PR上2B1
491,122715.SH,PR蓉新城
492,124145.SH,PR蓉兴城
493,142217.SH,PR润兴1B
494,124787.SH,PR荣经债
495,131370.SH,PR融和A3
496,124833.SH,PR如东泰
497,124144.SH,PR蓉城投
498,149414.SH,PR日A01
499,142188.SH,PR青租03
500,122516.SH,PR青州01
501,124082.SH,PR青国信
502,142898.SH,PR庆春B
503,142897.SH,PR庆春A
504,146147.SH,PR七A7
505,149242.SH,PR青3A3
506,149240.SH,PR青3A1
507,146267.SH,PR桥02
508,124500.SH,PR鹏铁02
509,124234.SH,PR鹏铁01
510,124979.SH,PR陂城投
511,142493.SH,PR平安4A
512,142435.SH,PR平安3A
513,146659.SH,PR平安2A
514,146380.SH,PR平安1A
515,131836.SH,PR平安1A
516,124228.SH,PR宁国02
517,124227.SH,PR宁国01
518,124030.SH,PR宁城投
519,127193.SH,PR马花山
520,142613.SH,PR民3A9
521,124586.SH,PR陆嘴02
522,124542.SH,PR陆嘴01
523,146478.SH,PR阆燃01
524,149456.SH,PR岚桥A1
525,124536.SH,PR莱开投
526,124975.SH,PR溧经开
527,122700.SH,PR来宾债
528,124615.SH,PR昆高新
529,142958.SH,PR康富A3
530,149361.SH,PR康3A4
531,149358.SH,PR康3A1
532,131512.SH,PR康1A3
533,142061.SH,PR聚信A2
534,142543.SH,PR聚伍A2
535,149235.SH,PR金腾优
536,124563.SH,PR吉铁投
537,127173.SH,PR津铁投
538,142400.SH,PR聚肆A2
539,142412.SH,PR基石03
540,124804.SH,PR津南债
541,124446.SH,PR即墨债
542,127033.SH,PR即旅投
543,124361.SH,PR京科城
544,124066.SH,PR津开02
545,124065.SH,PR津开01
546,124807.SH,PR金国发
547,131027.SH,PR聚二A3
548,124204.SH,PR津城投
549,124598.SH,PR济城投
550,149199.SH,PRJC02A1
551,146793.SH,PR聚03A1
552,146210.SH,PR聚02A2
553,142761.SH,PR聚01A2
554,149324.SH,PR聚01A1
555,124606.SH,PR菏泽债
556,146438.SH,PR海洋A2
557,124421.SH,PR海新区
558,131833.SH,PR航星A
559,146692.SH,PR华铁1A
560,124165.SH,PR洪市政
561,124580.SH,PR淮开发
562,124257.SH,PR海浆纸
563,127026.SH,PR沪建债
564,149034.SH,PRHJ优A
565,124735.SH,PR合建投
566,122995.SH,PR合建投
567,146190.SH,PR华景A2
568,131116.SH,PR恒航A
569,146555.SH,PR恒汇14
570,146554.SH,PR恒汇13
571,146553.SH,PR恒汇12
572,124335.SH,PR海国资
573,123012.SH,PR哈高新
574,124581.SH,PR黄冈02
575,124465.SH,PR黄冈01
576,124317.SH,PR华发债
577,124970.SH,PR杭地铁
578,127183.SH,PR淮城债
579,124214.SH,PR河城投
580,149037.SH,PR华3A1
581,124501.SH,PR皋沿江
582,124211.SH,PR甘投债
583,146162.SH,PR光胜1A
584,124012.SH,PR高密01
585,124491.SH,PR皋开债
586,142559.SH,PR国控A
587,142253.SH,PR公交2
588,142892.SH,PRG贵交2
589,149346.SH,PR国2A3
590,149344.SH,PR国2A1
591,142714.SH,PR富通A2
592,131778.SH,PR丰汇3A
593,124496.SH,PR丰城02
594,124468.SH,PR丰城01
595,149431.SH,PR沣邦1A
596,127169.SH,PR鄂长江
597,149287.SH,PR二A1
598,131924.SH,PR贰A
599,127158.SH,PR东营资
600,124818.SH,PR德源债
601,149108.SH,PR德银4A
602,146778.SH,PR德银3A
603,146169.SH,PR德银2A
604,127242.SH,PR当涂债
605,122696.SH,PR丹投债
606,124403.SH,PR丹投02
607,124402.SH,PR丹投01
608,146071.SH,PR读秒1A
609,127096.SH,PR东方财
610,142408.SH,PR贷1A
611,124430.SH,PR城阳债
612,124081.SH,PR长先导
613,124967.SH,PR昌经债
614,124914.SH,PR慈建投
615,122649.SH,PR长建投
616,131263.SH,PR常交03
617,124224.SH,PR朝国资
618,122536.SH,PR慈国控
619,124290.SH,PR长轨交
620,124426.SH,PR澄港城
621,127232.SH,PR长轨02
622,127145.SH,PR长轨01
623,124609.SH,PR常德投
624,127205.SH,PR巢城债
625,124138.SH,PR长城投
626,124172.SH,PR常城投
627,124449.SH,PR常滨湖
628,149299.SH,PR长安A
629,146500.SH,PR诚2A2
630,146050.SH,PR诚1A2
631,122563.SH,PR亳州债
632,127062.SH,PR博兴债
633,149502.SH,PR百新2A
634,146542.SH,PR百新1A
635,122774.SH,PR滨投02
636,146372.SH,PR保利优
637,146373.SH,PR保利A
638,124771.SH,PR亳建投
639,124195.SH,PR滨海02
640,124477.SH,PR滨高新
641,124682.SH,PR宝高新
642,124358.SH,PR蚌城投
643,146751.SH,PR八A4
644,142489.SH,PRB
645,131500.SH,PRB
646,123947.SH,PR奥租B
647,124307.SH,PR安经开
648,146530.SH,PR奥5A4
649,142431.SH,PRA3
650,146817.SH,PRA2
651,149112.SH,PRA2
652,146272.SH,PRA2
653,146857.SH,PRA2
654,149271.SH,PRA2
655,146271.SH,PRA1
656,146875.SH,PRA
657,142050.SH,PRA
658,142488.SH,PRA
659,142228.SH,PR8A8
660,149473.SH,PR8A1
661,142934.SH,PR7A7
662,146032.SH,PR6A3
663,146030.SH,PR6A1
664,146529.SH,PR5A2
665,142511.SH,PR5A12
666,142717.SH,PR5A
667,142250.SH,PR4A4
668,142133.SH,PR4A2
669,131729.SH,PR4A10
670,142132.SH,PR4A1
671,146892.SH,PR4A
672,146360.SH,PR3A8
673,142523.SH,PR3A5
674,131493.SH,PR3A10
675,142614.SH,PR3A10
676,149031.SH,PR3A
677,142704.SH,PR2优3
678,142703.SH,PR2优2
679,149292.SH,PR2优
680,131881.SH,PR2A2
681,142657.SH,PR2A2
682,146279.SH,PR2A1
683,146887.SH,PR2A1
684,131880.SH,PR2A1
685,149153.SH,PR1优A
686,131449.SH,PR1优3
687,131448.SH,PR1优2
688,131082.SH,PR1优
689,142363.SH,PR1A8
690,146343.SH,PR1A3
691,146716.SH,PR1A2
692,146525.SH,PR1A2
693,149044.SH,PR1A1
694,149210.SH,PR1A
695,149336.SH,PR18易2A
696,149173.SH,PR18易1A
697,149409.SH,PR18平1A
698,146016.SH,PR17远1A
699,146665.SH,PR17三A
700,149166.SH,PR17四4A
701,146764.SH,PR17A2
702,146700.SH,PR17A
703,146056.SH,PR17A
704,127163.SH,PR15海门
705,124520.SH,PR14太资
706,122674.SH,PR12渝黔
707,149018.SH,PR12A3
708,146640.SH,PR11A4
709,142922.SH,PR10A6
710,149170.SH,PR05A2
711,149480.SH,PR03A3
712,149478.SH,PR03A1
713,131099.SH,PR03
714,142684.SH,PR03
715,149294.SH,PR02A1
716,123922.SH,PR02
717,142683.SH,PR02
718,149333.SH,PR01优
719,146707.SH,PR01A4
720,149055.SH,PR01A2
721,146251.SH,PR01A2
722,149729.SH,平租18优
723,149558.SH,宁远04A5
724,149557.SH,宁远04A4
725,149556.SH,宁远04A3
726,149554.SH,宁远04A2
727,149553.SH,宁远04A1
728,149421.SH,宁远03A5
729,149420.SH,宁远03A4
730,149419.SH,宁远03A3
731,149418.SH,宁远03A2
732,149417.SH,宁远03A1
733,149296.SH,宁远02A3
734,149295.SH,宁远02A2
735,146709.SH,宁远01A6
736,146708.SH,宁远01A5
737,128024.SZ,宁行转债
738,146776.SH,宁海A5
739,146775.SH,宁海A4
740,146774.SH,宁海A3
741,146773.SH,宁海A2
742,123583.SH,宁公交05
743,123582.SH,宁公交04
744,146387.SH,南三优06
745,146386.SH,南三优05
746,142202.SH,南山二12
747,142201.SH,南山二11
748,142200.SH,南山二10
749,142199.SH,南山二09
750,119240.SZ,南方A4
751,119239.SZ,南方A3
752,116109.SZ,民生8A2
753,116089.SZ,民生7A3
754,116086.SZ,民生6A2
755,116050.SZ,民生4A3
756,116019.SZ,民生3A3
757,119270.SZ,民生1A3
758,116156.SZ,民生10A3
759,110041.SH,蒙电转债
760,146551.SH,美凯龙1B
761,146550.SH,美凯龙1A
762,149445.SH,蚂蚁01A1
763,119294.SZ,茂庸08
764,119293.SZ,茂庸07
765,119292.SZ,茂庸06
766,119291.SZ,茂庸05
767,119290.SZ,茂庸04
768,119289.SZ,茂庸03
769,116787.SZ,贸金1A3
770,119439.SZ,迈科1A
771,116534.SZ,绿源优05
772,116533.SZ,绿源优04
773,116532.SZ,绿源优03
774,116531.SZ,绿源优02
775,116530.SZ,绿源优01
776,146313.SH,绿城优先
777,124259.SH,潞02暂停
778,124258.SH,潞01暂停
779,142690.SH,龙矿1E
780,142689.SH,龙矿1D
781,142688.SH,龙矿1C
782,142687.SH,龙矿1B
783,142732.SH,龙光优先
784,142733.SH,龙光次优
785,116971.SZ,联易融03
786,116847.SZ,联易融02
787,116798.SZ,联易融01
788,123832.SH,连徐A05
789,123831.SH,连徐A04
790,123830.SH,连徐A03
791,116212.SZ,康景06
792,116211.SZ,康景05
793,116210.SZ,康景04
794,116209.SZ,康景03
795,149360.SH,康富3A3
796,149359.SH,康富3A2
797,131482.SH,凯盛优先
798,142779.SH,凯恒优A
799,142544.SH,聚伍A3
800,142401.SH,聚肆A3
801,149578.SH,君同一优
802,146408.SH,君诚一A3
803,142432.SH,君创A4
804,149634.SH,九州通3A
805,116982.SZ,集顺优01
806,146526.SH,金石1B
807,116571.SZ,金融优A
808,131080.SH,津桥10
809,131079.SH,津桥09
810,131078.SH,津桥08
811,131077.SH,津桥07
812,131076.SH,津桥06
813,131075.SH,津桥05
814,131074.SH,津桥04
815,122747.SH,晋煤暂停
816,124350.SH,晋煤暂停
817,131518.SH,金林1A3
818,131517.SH,金林1A2
819,131516.SH,金林1A1
820,116046.SZ,金科优5
821,116045.SZ,金科优4
822,116044.SZ,金科优3
823,142517.SH,金科01
824,149376.SH,金供链优
825,116566.SZ,京东9优A
826,116549.SZ,京东8优A
827,116539.SZ,京东7优A
828,116478.SZ,京东6优A
829,116973.SZ,京东19A
830,116897.SZ,京东18A
831,116735.SZ,京东17A
832,116746.SZ,京东16A
833,116611.SZ,京东12A
834,116608.SZ,京东11A
835,116605.SZ,京东10A
836,116717.SZ,京东03A1
837,116706.SZ,京东02A1
838,116653.SZ,京东01A1
839,124357.SH,津房暂停
840,146497.SH,金地优8
841,146496.SH,金地优7
842,146495.SH,金地优6
843,146494.SH,金地优5
844,146493.SH,金地优4
845,146492.SH,金地优3
846,146491.SH,金地优2
847,131952.SH,金安中间
848,142035.SH,金安2B
849,142034.SH,金安2A9
850,131951.SH,金安09
851,119262.SZ,济钢1优
852,116715.SZ,节能优B
853,116714.SZ,节能优A
854,149614.SH,借呗51A1
855,149506.SH,借呗50A1
856,149086.SH,借呗49A1
857,149190.SH,借呗48A1
858,146866.SH,借呗47A1
859,146863.SH,借呗46A1
860,146712.SH,借呗45A1
861,146656.SH,借呗44A1
862,146654.SH,借呗43A2
863,146653.SH,借呗43A1
864,146651.SH,借呗42A2
865,146650.SH,借呗42A1
866,146648.SH,借呗41A2
867,146647.SH,借呗41A1
868,146576.SH,借呗40A2
869,146575.SH,借呗40A1
870,146573.SH,借呗39A2
871,146572.SH,借呗39A1
872,146569.SH,借呗38A1
873,146566.SH,借呗37A1
874,146564.SH,借呗36A2
875,146563.SH,借呗36A1
876,146558.SH,借呗35A2
877,146557.SH,借呗35A1
878,146464.SH,借呗34A2
879,146463.SH,借呗34A1
880,146461.SH,借呗33A2
881,146460.SH,借呗33A1
882,146458.SH,借呗32A2
883,146457.SH,借呗32A1
884,146421.SH,借呗31A1
885,146419.SH,借呗30A2
886,146418.SH,借呗30A1
887,146350.SH,借呗29A1
888,146347.SH,借呗28A1
889,146329.SH,借呗27A2
890,146328.SH,借呗27A1
891,149049.SH,建工1优
892,149699.SH,建房尾A
893,119080.SZ,建发房4
894,116885.SZ,JD金条1A
895,116825.SZ,荟赢1优A
896,142640.SH,汇通9B
897,142639.SH,汇通9A8
898,142638.SH,汇通9A7
899,142229.SH,汇通8B
900,149596.SH,汇通13A3
901,149595.SH,汇通13A2
902,149594.SH,汇通13A1
903,149022.SH,汇通12A7
904,149021.SH,汇通12A6
905,149020.SH,汇通12A5
906,149019.SH,汇通12A4
907,146644.SH,汇通11A8
908,146643.SH,汇通11A7
909,146642.SH,汇通11A6
910,146641.SH,汇通11A5
911,142925.SH,汇通10A9
912,142924.SH,汇通10A8
913,142923.SH,汇通10A7
914,116919.SZ,汇天04优
915,116858.SZ,汇天03优
916,116808.SZ,汇天02优
917,116781.SZ,汇天01优
918,146280.SH,汇金2A2
919,142600.SH,沪保障06
920,142599.SH,沪保障05
921,149598.SH,华鑫融1A
922,149531.SH,华泰2号
923,146693.SH,华铁1B
924,146696.SH,华润2优1
925,146019.SH,华润1期A
926,116672.SZ,华南城A6
927,116671.SZ,华南城A5
928,116670.SZ,华南城A4
929,116669.SZ,华南城A3
930,116668.SZ,华南城A2
931,116667.SZ,华南城A1
932,142700.SH,华美A3
933,149038.SH,华鲁3A2
934,149437.SH,华发优A
935,116058.SZ,华发07
936,116057.SZ,华发06
937,116056.SZ,华发05
938,116055.SZ,华发04
939,116054.SZ,华发03
940,149637.SH,花呗60A1
941,149318.SH,花呗59A1
942,149315.SH,花呗58A1
943,149281.SH,花呗57A1
944,149251.SH,花呗56A1
945,149130.SH,花呗55A1
946,146898.SH,花呗54A1
947,146837.SH,花呗53A1
948,146834.SH,花呗52A1
949,146831.SH,花呗51A1
950,146689.SH,花呗50A1
951,146686.SH,花呗49A1
952,146683.SH,花呗48A1
953,146680.SH,花呗47A1
954,146677.SH,花呗46A1
955,146674.SH,花呗45A1
956,146671.SH,花呗44A1
957,146668.SH,花呗43A1
958,146623.SH,花呗42A1
959,146578.SH,花呗41A1
960,146560.SH,花呗40A1
961,146475.SH,花呗39A1
