,symbol,special_type,shenwan_industry,status
300653.XSHE,正海生物,Normal,801150.INDX,Active
002290.XSHE,中科新材,Normal,801110.INDX,Active
000588.XSHE,PT粤金曼,PT,,Delisted
000429.XSHE,粤高速A,Normal,801170.INDX,Active
000669.XSHE,金鸿控股,Normal,801160.INDX,Active
603181.XSHG,皇马科技,Normal,801030.INDX,Active
002215.XSHE,诺普信,Normal,801030.INDX,Active
603031.XSHG,安德利,Normal,801120.INDX,Active
002479.XSHE,富春环保,Normal,801160.INDX,Active
600584.XSHG,长电科技,Normal,801080.INDX,Active
000815.XSHE,美利云,Normal,801140.INDX,Active
603038.XSHG,华立股份,Normal,801710.INDX,Active
601006.XSHG,大秦铁路,Normal,801170.INDX,Active
601233.XSHG,桐昆股份,Normal,801030.INDX,Active
300451.XSHE,创业软件,Normal,801750.INDX,Active
603032.XSHG,德新交运,Normal,801170.INDX,Active
600672.XSHG,*ST华圣,StarST,,Delisted
600782.XSHG,新钢股份,Normal,801040.INDX,Active
000920.XSHE,南方汇通,Normal,801160.INDX,Active
002856.XSHE,美芝股份,Normal,801720.INDX,Active
600218.XSHG,全柴动力,Normal,801890.INDX,Active
002260.XSHE,*ST德奥,StarST,801110.INDX,Active
300603.XSHE,立昂技术,Normal,801770.INDX,Active
603040.XSHG,新坐标,Normal,801880.INDX,Active
002779.XSHE,中坚科技,Normal,801890.INDX,Active
002033.XSHE,丽江旅游,Normal,801210.INDX,Active
600350.XSHG,山东高速,Normal,801170.INDX,Active
601618.XSHG,中国中冶,Normal,801720.INDX,Active
300159.XSHE,新研股份,Normal,801740.INDX,Active
600410.XSHG,华胜天成,Normal,801750.INDX,Active
002889.XSHE,东方嘉盛,Normal,801170.INDX,Active
300516.XSHE,久之洋,Normal,801080.INDX,Active
002581.XSHE,未名医药,Normal,801150.INDX,Active
002222.XSHE,福晶科技,Normal,801080.INDX,Active
300604.XSHE,长川科技,Normal,801890.INDX,Active
300091.XSHE,金通灵,Normal,801890.INDX,Active
300709.XSHE,精研科技,Normal,801080.INDX,Active
601158.XSHG,重庆水务,Normal,801160.INDX,Active
300005.XSHE,探路者,Normal,801130.INDX,Active
600233.XSHG,圆通速递,Normal,801170.INDX,Active
002666.XSHE,德联集团,Normal,801030.INDX,Active
000589.XSHE,黔轮胎A,Normal,801030.INDX,Active
002066.XSHE,瑞泰科技,Normal,801710.INDX,Active
000010.XSHE,美丽生态,Normal,801720.INDX,Active
002038.XSHE,双鹭药业,Normal,801150.INDX,Active
603218.XSHG,日月股份,Normal,801730.INDX,Active
002449.XSHE,国星光电,Normal,801080.INDX,Active
600888.XSHG,新疆众和,Normal,801050.INDX,Active
000019.XSHE,深深宝A,Normal,801120.INDX,Active
600761.XSHG,安徽合力,Normal,801890.INDX,Active
002700.XSHE,新疆浩源,Normal,801160.INDX,Active
300068.XSHE,南都电源,Normal,801730.INDX,Active
603456.XSHG,九洲药业,Normal,801150.INDX,Active
002293.XSHE,罗莱生活,Normal,801130.INDX,Active
002861.XSHE,瀛通通讯,Normal,801080.INDX,Active
600315.XSHG,上海家化,Normal,801030.INDX,Active
601137.XSHG,博威合金,Normal,801050.INDX,Active
002341.XSHE,新纶科技,Normal,801160.INDX,Active
002787.XSHE,华源控股,Normal,801140.INDX,Active
603868.XSHG,飞科电器,Normal,801110.INDX,Active
603318.XSHG,派思股份,Normal,801890.INDX,Active
002810.XSHE,山东赫达,Normal,801030.INDX,Active
603366.XSHG,日出东方,Normal,801110.INDX,Active
300321.XSHE,同大股份,Normal,801030.INDX,Active
600652.XSHG,游久游戏,Normal,801760.INDX,Active
300262.XSHE,巴安水务,Normal,801160.INDX,Active
600885.XSHG,宏发股份,Normal,801730.INDX,Active
000539.XSHE,粤电力A,Normal,801160.INDX,Active
002320.XSHE,海峡股份,Normal,801170.INDX,Active
601216.XSHG,君正集团,Normal,801030.INDX,Active
002108.XSHE,沧州明珠,Normal,801030.INDX,Active
300414.XSHE,中光防雷,Normal,801770.INDX,Active
600448.XSHG,华纺股份,Normal,801130.INDX,Active
603368.XSHG,柳药股份,Normal,801150.INDX,Active
002321.XSHE,华英农业,Normal,801010.INDX,Active
300484.XSHE,蓝海华腾,Normal,801730.INDX,Active
002459.XSHE,天业通联,Normal,801890.INDX,Active
601222.XSHG,林洋能源,Normal,801730.INDX,Active
600735.XSHG,新华锦,Normal,801200.INDX,Active
600756.XSHG,浪潮软件,Normal,801750.INDX,Active
600481.XSHG,双良节能,Normal,801890.INDX,Active
603519.XSHG,立霸股份,Normal,801110.INDX,Active
000952.XSHE,广济药业,Normal,801150.INDX,Active
000862.XSHE,银星能源,Normal,801160.INDX,Active
002902.XSHE,铭普光磁,Normal,801080.INDX,Active
002396.XSHE,星网锐捷,Normal,801770.INDX,Active
300300.XSHE,汉鼎宇佑,Normal,801750.INDX,Active
601718.XSHG,际华集团,Normal,801130.INDX,Active
600470.XSHG,六国化工,Normal,801030.INDX,Active
300686.XSHE,智动力,Normal,801080.INDX,Active
002845.XSHE,同兴达,Normal,801080.INDX,Active
002646.XSHE,青青稞酒,Normal,801120.INDX,Active
603006.XSHG,联明股份,Normal,801880.INDX,Active
600798.XSHG,宁波海运,Normal,801170.INDX,Active
600059.XSHG,古越龙山,Normal,801120.INDX,Active
002931.XSHE,锋龙股份,Normal,801880.INDX,Active
002114.XSHE,罗平锌电,Normal,801050.INDX,Active
000976.XSHE,华铁股份,Normal,801890.INDX,Active
600664.XSHG,哈药股份,Normal,801150.INDX,Active
600762.XSHG,S*ST金荔,StarST,,Delisted
600511.XSHG,国药股份,Normal,801150.INDX,Active
002292.XSHE,奥飞娱乐,Normal,801760.INDX,Active
601515.XSHG,东风股份,Normal,801140.INDX,Active
600962.XSHG,国投中鲁,Normal,801010.INDX,Active
300742.XSHE,越博动力,Normal,801880.INDX,Active
603855.XSHG,华荣股份,Normal,801890.INDX,Active
000657.XSHE,中钨高新,Normal,801050.INDX,Active
600829.XSHG,人民同泰,Normal,801150.INDX,Active
300634.XSHE,彩讯股份,Normal,801750.INDX,Active
002892.XSHE,科力尔,Normal,801730.INDX,Active
600433.XSHG,冠豪高新,Normal,801140.INDX,Active
603985.XSHG,恒润股份,Normal,801890.INDX,Active
002236.XSHE,大华股份,Normal,801080.INDX,Active
601996.XSHG,丰林集团,Normal,801140.INDX,Active
300387.XSHE,富邦股份,Normal,801030.INDX,Active
000987.XSHE,越秀金控,Normal,801790.INDX,Active
000821.XSHE,京山轻机,Normal,801890.INDX,Active
603378.XSHG,亚士创能,Normal,801030.INDX,Active
300143.XSHE,星普医科,Normal,801150.INDX,Active
600774.XSHG,汉商集团,Normal,801200.INDX,Active
600396.XSHG,金山股份,Normal,801160.INDX,Active
000548.XSHE,湖南投资,Normal,801170.INDX,Active
300032.XSHE,金龙机电,Normal,801080.INDX,Active
300053.XSHE,欧比特,Normal,801080.INDX,Active
002353.XSHE,杰瑞股份,Normal,801890.INDX,Active
300165.XSHE,天瑞仪器,Normal,801890.INDX,Active
000787.XSHE,*ST创智,StarST,,Delisted
000412.XSHE,ST五环,ST,,Delisted
300039.XSHE,上海凯宝,Normal,801150.INDX,Active
300287.XSHE,飞利信,Normal,801750.INDX,Active
603330.XSHG,上海天洋,Normal,801030.INDX,Active
300259.XSHE,新天科技,Normal,801890.INDX,Active
000035.XSHE,中国天楹,Normal,801160.INDX,Active
000560.XSHE,我爱我家,Normal,801200.INDX,Active
300622.XSHE,博士眼镜,Normal,801200.INDX,Active
603116.XSHG,红蜻蜓,Normal,801130.INDX,Active
300154.XSHE,瑞凌股份,Normal,801890.INDX,Active
300167.XSHE,迪威迅,Normal,801750.INDX,Active
600111.XSHG,北方稀土,Normal,801050.INDX,Active
300265.XSHE,通光线缆,Normal,801730.INDX,Active
600383.XSHG,金地集团,Normal,801180.INDX,Active
