,symbol,special_type,shenwan_industry,status
000063.XSHE,中兴通讯,Normal,801770.INDX,Active
002076.XSHE,雪莱特,Normal,801080.INDX,Active
002441.XSHE,众业达,Normal,801730.INDX,Active
300109.XSHE,新开源,Normal,801030.INDX,Active
000596.XSHE,古井贡酒,Normal,801120.INDX,Active
002434.XSHE,万里扬,Normal,801880.INDX,Active
600811.XSHG,东方集团,Normal,801230.INDX,Active
000695.XSHE,滨海能源,Normal,801160.INDX,Active
002676.XSHE,顺威股份,Normal,801110.INDX,Active
601212.XSHG,白银有色,Normal,801050.INDX,Active
600979.XSHG,广安爱众,Normal,801160.INDX,Active
600066.XSHG,宇通客车,Normal,801880.INDX,Active
601226.XSHG,华电重工,Normal,801720.INDX,Active
603637.XSHG,镇海股份,Normal,801720.INDX,Active
600352.XSHG,浙江龙盛,Normal,801030.INDX,Active
600085.XSHG,同仁堂,Normal,801150.INDX,Active
002220.XSHE,天宝食品,Normal,801010.INDX,Active
000779.XSHE,三毛派神,Normal,801130.INDX,Active
603214.XSHG,爱婴室,Normal,801200.INDX,Active
300261.XSHE,雅本化学,Normal,801030.INDX,Active
603612.XSHG,索通发展,Normal,801050.INDX,Active
300120.XSHE,经纬辉开,Normal,801730.INDX,Active
300355.XSHE,蒙草生态,Normal,801720.INDX,Active
600669.XSHG,*ST鞍成,StarST,,Delisted
002313.XSHE,日海智能,Normal,801770.INDX,Active
300649.XSHE,杭州园林,Normal,801720.INDX,Active
600744.XSHG,华银电力,Normal,801160.INDX,Active
600094.XSHG,大名城,Normal,801180.INDX,Active
002872.XSHE,天圣制药,Normal,801150.INDX,Active
600709.XSHG,ST生态,ST,,Delisted
600339.XSHG,中油工程,Normal,801020.INDX,Active
300608.XSHE,思特奇,Normal,801750.INDX,Active
300625.XSHE,三雄极光,Normal,801080.INDX,Active
600638.XSHG,新黄浦,Normal,801180.INDX,Active
300222.XSHE,科大智能,Normal,801890.INDX,Active
600234.XSHG,ST山水,ST,801230.INDX,Active
600805.XSHG,悦达投资,Normal,801230.INDX,Active
600418.XSHG,江淮汽车,Normal,801880.INDX,Active
002498.XSHE,汉缆股份,Normal,801730.INDX,Active
601106.XSHG,中国一重,Normal,801890.INDX,Active
603689.XSHG,皖天然气,Normal,801160.INDX,Active
002571.XSHE,德力股份,Normal,801140.INDX,Active
000013.XSHE,*ST石化A,StarST,,Delisted
000858.XSHE,五粮液,Normal,801120.INDX,Active
603355.XSHG,莱克电气,Normal,801110.INDX,Active
603359.XSHG,东珠生态,Normal,801720.INDX,Active
002399.XSHE,海普瑞,Normal,801150.INDX,Active
002527.XSHE,新时达,Normal,801730.INDX,Active
002900.XSHE,哈三联,Normal,801150.INDX,Active
300470.XSHE,日机密封,Normal,801890.INDX,Active
603880.XSHG,南卫股份,Normal,801150.INDX,Active
603819.XSHG,神力股份,Normal,801730.INDX,Active
000685.XSHE,中山公用,Normal,801160.INDX,Active
300738.XSHE,奥飞数据,Normal,801750.INDX,Active
002757.XSHE,南兴装备,Normal,801890.INDX,Active
603088.XSHG,宁波精达,Normal,801890.INDX,Active
600988.XSHG,赤峰黄金,Normal,801050.INDX,Active
300271.XSHE,华宇软件,Normal,801750.INDX,Active
002148.XSHE,北纬科技,Normal,801760.INDX,Active
002254.XSHE,泰和新材,Normal,801030.INDX,Active
300251.XSHE,光线传媒,Normal,801760.INDX,Active
300079.XSHE,数码科技,Normal,801750.INDX,Active
002049.XSHE,紫光国微,Normal,801080.INDX,Active
002445.XSHE,中南文化,Normal,801760.INDX,Active
600293.XSHG,三峡新材,Normal,801770.INDX,Active
300661.XSHE,圣邦股份,Normal,801080.INDX,Active
600996.XSHG,贵广网络,Normal,801760.INDX,Active
300313.XSHE,天山生物,Normal,801010.INDX,Active
603912.XSHG,佳力图,Normal,801890.INDX,Active
600118.XSHG,中国卫星,Normal,801740.INDX,Active
002753.XSHE,永东股份,Normal,801030.INDX,Active
000025.XSHE,特力A,Normal,801880.INDX,Active
600227.XSHG,圣济堂,Normal,801150.INDX,Active
000402.XSHE,金融街,Normal,801180.INDX,Active
603960.XSHG,克来机电,Normal,801890.INDX,Active
002557.XSHE,洽洽食品,Normal,801120.INDX,Active
603386.XSHG,广东骏亚,Normal,801080.INDX,Active
601788.XSHG,光大证券,Normal,801790.INDX,Active
300199.XSHE,翰宇药业,Normal,801150.INDX,Active
300063.XSHE,天龙集团,Normal,801760.INDX,Active
300739.XSHE,明阳电路,Normal,801080.INDX,Active
300366.XSHE,创意信息,Normal,801750.INDX,Active
300263.XSHE,隆华节能,Normal,801160.INDX,Active
600759.XSHG,洲际油气,Normal,801020.INDX,Active
600894.XSHG,广日股份,Normal,801890.INDX,Active
002561.XSHE,徐家汇,Normal,801200.INDX,Active
300135.XSHE,宝利国际,Normal,801030.INDX,Active
300492.XSHE,山鼎设计,Normal,801720.INDX,Active
600612.XSHG,老凤祥,Normal,801140.INDX,Active
603822.XSHG,嘉澳环保,Normal,801030.INDX,Active
603676.XSHG,卫信康,Normal,801150.INDX,Active
000557.XSHE,西部创业,Normal,801170.INDX,Active
000564.XSHE,供销大集,Normal,801200.INDX,Active
002877.XSHE,智能自控,Normal,801890.INDX,Active
600095.XSHG,哈高科,Normal,801180.INDX,Active
603696.XSHG,安记食品,Normal,801120.INDX,Active
000809.XSHE,铁岭新城,Normal,801180.INDX,Active
300505.XSHE,川金诺,Normal,801030.INDX,Active
600198.XSHG,*ST大唐,StarST,801770.INDX,Active
300125.XSHE,易世达,Normal,801160.INDX,Active
300655.XSHE,晶瑞股份,Normal,801030.INDX,Active
600179.XSHG,安通控股,Normal,801170.INDX,Active
000807.XSHE,云铝股份,Normal,801050.INDX,Active
002833.XSHE,弘亚数控,Normal,801890.INDX,Active
300347.XSHE,泰格医药,Normal,801150.INDX,Active
600966.XSHG,博汇纸业,Normal,801140.INDX,Active
600271.XSHG,航天信息,Normal,801750.INDX,Active
603527.XSHG,众源新材,Normal,801050.INDX,Active
601838.XSHG,成都银行,Normal,801780.INDX,Active
603968.XSHG,醋化股份,Normal,801030.INDX,Active
600543.XSHG,莫高股份,Normal,801120.INDX,Active
603338.XSHG,浙江鼎力,Normal,801890.INDX,Active
002517.XSHE,恺英网络,Normal,801760.INDX,Active
600536.XSHG,中国软件,Normal,801750.INDX,Active
300552.XSHE,万集科技,Normal,801750.INDX,Active
601881.XSHG,中国银河,Normal,801790.INDX,Active
002645.XSHE,华宏科技,Normal,801890.INDX,Active
600423.XSHG,*ST柳化,StarST,801030.INDX,Active
000832.XSHE,*ST龙涤,StarST,,Delisted
603600.XSHG,永艺股份,Normal,801140.INDX,Active
603630.XSHG,拉芳家化,Normal,801030.INDX,Active
600961.XSHG,株冶集团,Normal,801050.INDX,Active
002656.XSHE,摩登大道,Normal,801130.INDX,Active
002171.XSHE,楚江新材,Normal,801050.INDX,Active
600197.XSHG,伊力特,Normal,801120.INDX,Active
002906.XSHE,华阳集团,Normal,801880.INDX,Active
600573.XSHG,惠泉啤酒,Normal,801120.INDX,Active
600477.XSHG,杭萧钢构,Normal,801720.INDX,Active
000835.XSHE,长城动漫,Normal,801760.INDX,Active
300731.XSHE,科创新源,Normal,801050.INDX,Active
603129.XSHG,春风动力,Normal,801880.INDX,Active
603668.XSHG,天马科技,Normal,801010.INDX,Active
601990.XSHG,南京证券,Normal,801790.INDX,Active
002368.XSHE,太极股份,Normal,801750.INDX,Active
300593.XSHE,新雷能,Normal,801730.INDX,Active
600380.XSHG,健康元,Normal,801150.INDX,Active
600462.XSHG,九有股份,Normal,801770.INDX,Active
000722.XSHE,湖南发展,Normal,801160.INDX,Active
300551.XSHE,古鳌科技,Normal,801890.INDX,Active
603517.XSHG,绝味食品,Normal,801120.INDX,Active
600175.XSHG,美都能源,Normal,801230.INDX,Active
002450.XSHE,康得新,Normal,801030.INDX,Active
600730.XSHG,中国高科,Normal,801230.INDX,Active
300489.XSHE,中飞股份,Normal,801050.INDX,Active
002891.XSHE,中宠股份,Normal,801010.INDX,Active
300102.XSHE,乾照光电,Normal,801080.INDX,Active
603302.XSHG,鑫广绿环,Normal,,UNKNOWN
601989.XSHG,中国重工,Normal,801740.INDX,Active
300191.XSHE,潜能恒信,Normal,801020.INDX,Active
002457.XSHE,青龙管业,Normal,801710.INDX,Active
600280.XSHG,中央商场,Normal,801200.INDX,Active
603898.XSHG,好莱客,Normal,801140.INDX,Active
002204.XSHE,大连重工,Normal,801890.INDX,Active
600666.XSHG,奥瑞德,Normal,801080.INDX,Active
002174.XSHE,游族网络,Normal,801760.INDX,Active
002337.XSHE,赛象科技,Normal,801890.INDX,Active
601799.XSHG,星宇股份,Normal,801880.INDX,Active
000549.XSHE,S湘火炬,Normal,,Delisted
002567.XSHE,唐人神,Normal,801010.INDX,Active
002275.XSHE,桂林三金,Normal,801150.INDX,Active
600740.XSHG,山西焦化,Normal,801020.INDX,Active
600901.XSHG,江苏租赁,Normal,801790.INDX,Active
600810.XSHG,神马股份,Normal,801030.INDX,Active
002813.XSHE,路畅科技,Normal,801770.INDX,Active
600926.XSHG,杭州银行,Normal,801780.INDX,Active
300670.XSHE,大烨智能,Normal,801730.INDX,Active
002667.XSHE,鞍重股份,Normal,801890.INDX,Active
002709.XSHE,天赐材料,Normal,801030.INDX,Active
000737.XSHE,*ST南风,StarST,801030.INDX,Active
002421.XSHE,达实智能,Normal,801750.INDX,Active
600505.XSHG,西昌电力,Normal,801160.INDX,Active
000960.XSHE,锡业股份,Normal,801050.INDX,Active
603329.XSHG,上海雅仕,Normal,801170.INDX,Active
000059.XSHE,华锦股份,Normal,801030.INDX,Active
600647.XSHG,同达创业,Normal,801180.INDX,Active
600854.XSHG,春兰股份,Normal,801110.INDX,Active
002551.XSHE,尚荣医疗,Normal,801150.INDX,Active
000065.XSHE,北方国际,Normal,801720.INDX,Active
603917.XSHG,合力科技,Normal,801880.INDX,Active
000420.XSHE,吉林化纤,Normal,801030.INDX,Active
000919.XSHE,金陵药业,Normal,801150.INDX,Active
300139.XSHE,晓程科技,Normal,801080.INDX,Active
002359.XSHE,北讯集团,Normal,801770.INDX,Active
300611.XSHE,美力科技,Normal,801880.INDX,Active
300094.XSHE,国联水产,Normal,801010.INDX,Active
002340.XSHE,格林美,Normal,801050.INDX,Active
300358.XSHE,楚天科技,Normal,801150.INDX,Active
300115.XSHE,长盈精密,Normal,801080.INDX,Active
600840.XSHG,新湖创业,Normal,,Delisted
002899.XSHE,英派斯,Normal,801140.INDX,Active
603017.XSHG,中衡设计,Normal,801720.INDX,Active
002698.XSHE,博实股份,Normal,801890.INDX,Active
000901.XSHE,航天科技,Normal,801890.INDX,Active
000721.XSHE,西安饮食,Normal,801210.INDX,Active
300180.XSHE,华峰超纤,Normal,801030.INDX,Active
603015.XSHG,弘讯科技,Normal,801730.INDX,Active
002096.XSHE,南岭民爆,Normal,801030.INDX,Active
300557.XSHE,理工光科,Normal,801890.INDX,Active
600266.XSHG,北京城建,Normal,801180.INDX,Active
600083.XSHG,博信股份,Normal,801230.INDX,Active
002737.XSHE,葵花药业,Normal,801150.INDX,Active
300454.XSHE,深信服,Normal,801750.INDX,Active
300386.XSHE,飞天诚信,Normal,801750.INDX,Active
300354.XSHE,东华测试,Normal,801890.INDX,Active
002637.XSHE,赞宇科技,Normal,801030.INDX,Active
603716.XSHG,塞力斯,Normal,801150.INDX,Active
300504.XSHE,天邑股份,Normal,801770.INDX,Active
603897.XSHG,长城科技,Normal,801730.INDX,Active
603703.XSHG,盛洋科技,Normal,801770.INDX,Active
000159.XSHE,国际实业,Normal,801030.INDX,Active
600976.XSHG,健民集团,Normal,801150.INDX,Active
603999.XSHG,读者传媒,Normal,801760.INDX,Active
000655.XSHE,*ST金岭,StarST,801020.INDX,Active
002068.XSHE,黑猫股份,Normal,801030.INDX,Active
000890.XSHE,法尔胜,Normal,801890.INDX,Active
601021.XSHG,春秋航空,Normal,801170.INDX,Active
603358.XSHG,华达科技,Normal,801880.INDX,Active
600691.XSHG,阳煤化工,Normal,801030.INDX,Active
002132.XSHE,恒星科技,Normal,801890.INDX,Active
002178.XSHE,延华智能,Normal,801720.INDX,Active
601009.XSHG,南京银行,Normal,801780.INDX,Active
002322.XSHE,理工环科,Normal,801730.INDX,Active
300511.XSHE,雪榕生物,Normal,801010.INDX,Active
603203.XSHG,快克股份,Normal,801890.INDX,Active
601010.XSHG,文峰股份,Normal,801200.INDX,Active
002029.XSHE,七匹狼,Normal,801130.INDX,Active
600289.XSHG,*ST信通,StarST,801770.INDX,Active
600566.XSHG,济川药业,Normal,801150.INDX,Active
300695.XSHE,兆丰股份,Normal,801880.INDX,Active
300609.XSHE,汇纳科技,Normal,801750.INDX,Active
300652.XSHE,雷迪克,Normal,801880.INDX,Active
600886.XSHG,国投电力,Normal,801160.INDX,Active
000798.XSHE,中水渔业,Normal,801010.INDX,Active
601608.XSHG,中信重工,Normal,801890.INDX,Active
601038.XSHG,一拖股份,Normal,801890.INDX,Active
603809.XSHG,豪能股份,Normal,801880.INDX,Active
600242.XSHG,中昌数据,Normal,801760.INDX,Active
603179.XSHG,新泉股份,Normal,801880.INDX,Active
601328.XSHG,交通银行,Normal,801780.INDX,Active
603987.XSHG,康德莱,Normal,801150.INDX,Active
000703.XSHE,恒逸石化,Normal,801030.INDX,Active
000531.XSHE,穗恒运A,Normal,801160.INDX,Active
000925.XSHE,众合科技,Normal,801890.INDX,Active
603608.XSHG,天创时尚,Normal,801130.INDX,Active
002501.XSHE,利源精制,Normal,801050.INDX,Active
002164.XSHE,宁波东力,Normal,801890.INDX,Active
300561.XSHE,汇金科技,Normal,801750.INDX,Active
600062.XSHG,华润双鹤,Normal,801150.INDX,Active
600791.XSHG,京能置业,Normal,801180.INDX,Active
600007.XSHG,中国国贸,Normal,801180.INDX,Active
002870.XSHE,香山股份,Normal,801890.INDX,Active
002079.XSHE,苏州固锝,Normal,801080.INDX,Active
603335.XSHG,迪生力,Normal,801880.INDX,Active
603895.XSHG,天永智能,Normal,801890.INDX,Active
300525.XSHE,博思软件,Normal,801750.INDX,Active
002920.XSHE,德赛西威,Normal,801750.INDX,Active
600213.XSHG,亚星客车,Normal,801880.INDX,Active
603315.XSHG,福鞍股份,Normal,801890.INDX,Active
002232.XSHE,启明信息,Normal,801750.INDX,Active
600296.XSHG,S兰铝,Normal,,Delisted
300283.XSHE,温州宏丰,Normal,801730.INDX,Active
300479.XSHE,神思电子,Normal,801750.INDX,Active
000650.XSHE,仁和药业,Normal,801150.INDX,Active
000702.XSHE,正虹科技,Normal,801010.INDX,Active
000151.XSHE,中成股份,Normal,801200.INDX,Active
002117.XSHE,东港股份,Normal,801140.INDX,Active
300662.XSHE,科锐国际,Normal,801210.INDX,Active
601015.XSHG,陕西黑猫,Normal,801020.INDX,Active
000966.XSHE,长源电力,Normal,801160.INDX,Active
002828.XSHE,贝肯能源,Normal,801020.INDX,Active
603081.XSHG,大丰实业,Normal,801720.INDX,Active
000977.XSHE,浪潮信息,Normal,801750.INDX,Active
300130.XSHE,新国都,Normal,801750.INDX,Active
002419.XSHE,天虹股份,Normal,801200.INDX,Active
603722.XSHG,阿科力,Normal,801030.INDX,Active
002134.XSHE,天津普林,Normal,801080.INDX,Active
000989.XSHE,九芝堂,Normal,801150.INDX,Active
300312.XSHE,邦讯技术,Normal,801770.INDX,Active
603505.XSHG,金石资源,Normal,801020.INDX,Active
002101.XSHE,广东鸿图,Normal,801880.INDX,Active
600717.XSHG,天津港,Normal,801170.INDX,Active
603688.XSHG,石英股份,Normal,801050.INDX,Active
000927.XSHE,一汽夏利,Normal,801880.INDX,Active
002282.XSHE,博深工具,Normal,801890.INDX,Active
000869.XSHE,张裕A,Normal,801120.INDX,Active
603166.XSHG,福达股份,Normal,801880.INDX,Active
603603.XSHG,博天环境,Normal,801160.INDX,Active
300221.XSHE,银禧科技,Normal,801030.INDX,Active
000939.XSHE,*ST凯迪,StarST,801160.INDX,Active
300461.XSHE,田中精机,Normal,801890.INDX,Active
603323.XSHG,吴江银行,Normal,801780.INDX,Active
300741.XSHE,华宝股份,Normal,801120.INDX,Active
002466.XSHE,天齐锂业,Normal,801050.INDX,Active
600618.XSHG,氯碱化工,Normal,801030.INDX,Active
002226.XSHE,江南化工,Normal,801030.INDX,Active
000710.XSHE,贝瑞基因,Normal,801150.INDX,Active
300459.XSHE,金科文化,Normal,801760.INDX,Active
600444.XSHG,国机通用,Normal,801890.INDX,Active
300028.XSHE,*金亚,Normal,801770.INDX,Active
600856.XSHG,中天能源,Normal,801160.INDX,Active
600260.XSHG,凯乐科技,Normal,801770.INDX,Active
000893.XSHE,*ST东凌,StarST,801010.INDX,Active
603585.XSHG,苏利股份,Normal,801030.INDX,Active
603733.XSHG,仙鹤股份,Normal,801140.INDX,Active
601858.XSHG,中国科传,Normal,801760.INDX,Active
000043.XSHE,中航善达,Normal,801180.INDX,Active
603589.XSHG,口子窖,Normal,801120.INDX,Active
002014.XSHE,永新股份,Normal,801140.INDX,Active
600675.XSHG,中华企业,Normal,801180.INDX,Active
603859.XSHG,能科股份,Normal,801730.INDX,Active
600005.XSHG,武钢股份,Normal,,Delisted
600876.XSHG,洛阳玻璃,Normal,801710.INDX,Active
002362.XSHE,汉王科技,Normal,801750.INDX,Active
002859.XSHE,洁美科技,Normal,801080.INDX,Active
002903.XSHE,宇环数控,Normal,801890.INDX,Active
300210.XSHE,森远股份,Normal,801890.INDX,Active
002658.XSHE,雪迪龙,Normal,801890.INDX,Active
002532.XSHE,新界泵业,Normal,801890.INDX,Active
601808.XSHG,中海油服,Normal,801020.INDX,Active
300621.XSHE,维业股份,Normal,801720.INDX,Active
603887.XSHG,城地股份,Normal,801720.INDX,Active
002684.XSHE,猛狮科技,Normal,801880.INDX,Active
600973.XSHG,宝胜股份,Normal,801730.INDX,Active
601677.XSHG,明泰铝业,Normal,801050.INDX,Active
600022.XSHG,山东钢铁,Normal,801040.INDX,Active
300458.XSHE,全志科技,Normal,801080.INDX,Active
600998.XSHG,九州通,Normal,801150.INDX,Active
000403.XSHE,ST生化,ST,801150.INDX,Active
002123.XSHE,梦网集团,Normal,801760.INDX,Active
600071.XSHG,凤凰光学,Normal,801080.INDX,Active
600628.XSHG,新世界,Normal,801200.INDX,Active
600122.XSHG,宏图高科,Normal,801200.INDX,Active
300712.XSHE,永福股份,Normal,801720.INDX,Active
002024.XSHE,苏宁易购,Normal,801200.INDX,Active
002573.XSHE,清新环境,Normal,801160.INDX,Active
300626.XSHE,华瑞股份,Normal,801730.INDX,Active
002529.XSHE,海源机械,Normal,801890.INDX,Active
600483.XSHG,福能股份,Normal,801160.INDX,Active
002712.XSHE,思美传媒,Normal,801760.INDX,Active
002166.XSHE,莱茵生物,Normal,801150.INDX,Active
002516.XSHE,旷达科技,Normal,801130.INDX,Active
000755.XSHE,*ST三维,StarST,801030.INDX,Active
002184.XSHE,海得控制,Normal,801730.INDX,Active
000626.XSHE,远大控股,Normal,801200.INDX,Active
601558.XSHG,ST锐电,ST,801730.INDX,Active
300463.XSHE,迈克生物,Normal,801150.INDX,Active
600812.XSHG,华北制药,Normal,801150.INDX,Active
002393.XSHE,力生制药,Normal,801150.INDX,Active
300522.XSHE,世名科技,Normal,801030.INDX,Active
600847.XSHG,万里股份,Normal,801730.INDX,Active
000823.XSHE,超声电子,Normal,801080.INDX,Active
300382.XSHE,斯莱克,Normal,801890.INDX,Active
300413.XSHE,芒果超媒,Normal,801200.INDX,Active
300082.XSHE,奥克股份,Normal,801030.INDX,Active
300657.XSHE,弘信电子,Normal,801080.INDX,Active
601101.XSHG,昊华能源,Normal,801020.INDX,Active
300539.XSHE,横河模具,Normal,801030.INDX,Active
603566.XSHG,普莱柯,Normal,801010.INDX,Active
600199.XSHG,金种子酒,Normal,801120.INDX,Active
600724.XSHG,宁波富达,Normal,801180.INDX,Active
300475.XSHE,聚隆科技,Normal,801110.INDX,Active
600997.XSHG,开滦股份,Normal,801020.INDX,Active
000717.XSHE,韶钢松山,Normal,801040.INDX,Active
300373.XSHE,扬杰科技,Normal,801080.INDX,Active
300106.XSHE,西部牧业,Normal,801010.INDX,Active
002374.XSHE,丽鹏股份,Normal,801720.INDX,Active
600668.XSHG,尖峰集团,Normal,801710.INDX,Active
600742.XSHG,一汽富维,Normal,801880.INDX,Active
600585.XSHG,海螺水泥,Normal,801710.INDX,Active
300499.XSHE,高澜股份,Normal,801890.INDX,Active
002241.XSHE,歌尔股份,Normal,801080.INDX,Active
601339.XSHG,百隆东方,Normal,801130.INDX,Active
600981.XSHG,汇鸿集团,Normal,801200.INDX,Active
600273.XSHG,嘉化能源,Normal,801030.INDX,Active
002190.XSHE,成飞集成,Normal,801740.INDX,Active
002316.XSHE,亚联发展,Normal,801770.INDX,Active
002057.XSHE,中钢天源,Normal,801050.INDX,Active
002518.XSHE,科士达,Normal,801730.INDX,Active
603269.XSHG,海鸥股份,Normal,801890.INDX,Active
002303.XSHE,美盈森,Normal,801140.INDX,Active
002528.XSHE,英飞拓,Normal,801750.INDX,Active
002160.XSHE,常铝股份,Normal,801050.INDX,Active
603161.XSHG,科华控股,Normal,801880.INDX,Active
000002.XSHE,万科A,Normal,801180.INDX,Active
300245.XSHE,天玑科技,Normal,801750.INDX,Active
002586.XSHE,围海股份,Normal,801720.INDX,Active
300388.XSHE,国祯环保,Normal,801160.INDX,Active
600651.XSHG,飞乐音响,Normal,801080.INDX,Active
600317.XSHG,营口港,Normal,801170.INDX,Active
000405.XSHE,ST鑫光,ST,,Delisted
600367.XSHG,红星发展,Normal,801030.INDX,Active
000836.XSHE,鑫茂科技,Normal,801770.INDX,Active
601128.XSHG,常熟银行,Normal,801780.INDX,Active
603159.XSHG,上海亚虹,Normal,801890.INDX,Active
002653.XSHE,海思科,Normal,801150.INDX,Active
600657.XSHG,信达地产,Normal,801180.INDX,Active
000651.XSHE,格力电器,Normal,801110.INDX,Active
002745.XSHE,木林森,Normal,801080.INDX,Active
601992.XSHG,金隅集团,Normal,801230.INDX,Active
600023.XSHG,浙能电力,Normal,801160.INDX,Active
603111.XSHG,康尼机电,Normal,801890.INDX,Active
600275.XSHG,ST昌鱼,ST,801010.INDX,Active
000636.XSHE,风华高科,Normal,801080.INDX,Active
002474.XSHE,榕基软件,Normal,801750.INDX,Active
300696.XSHE,爱乐达,Normal,801740.INDX,Active
600842.XSHG,中西药业,Normal,,Delisted
300244.XSHE,迪安诊断,Normal,801150.INDX,Active
603033.XSHG,三维股份,Normal,801030.INDX,Active
601069.XSHG,西部黄金,Normal,801050.INDX,Active
002197.XSHE,证通电子,Normal,801750.INDX,Active
300491.XSHE,通合科技,Normal,801730.INDX,Active
600052.XSHG,浙江广厦,Normal,801180.INDX,Active
002878.XSHE,元隆雅图,Normal,801760.INDX,Active
000056.XSHE,皇庭国际,Normal,801180.INDX,Active
300565.XSHE,科信技术,Normal,801770.INDX,Active
002510.XSHE,天汽模,Normal,801880.INDX,Active
603706.XSHG,东方环宇,Normal,801160.INDX,Active
603501.XSHG,韦尔股份,Normal,801080.INDX,Active
000488.XSHE,晨鸣纸业,Normal,801140.INDX,Active
000671.XSHE,阳光城,Normal,801180.INDX,Active
600970.XSHG,中材国际,Normal,801720.INDX,Active
000605.XSHE,渤海股份,Normal,801160.INDX,Active
002865.XSHE,钧达股份,Normal,801880.INDX,Active
603801.XSHG,志邦股份,Normal,801140.INDX,Active
603728.XSHG,鸣志电器,Normal,801730.INDX,Active
600416.XSHG,湘电股份,Normal,801730.INDX,Active
002775.XSHE,文科园林,Normal,801720.INDX,Active
601899.XSHG,紫金矿业,Normal,801050.INDX,Active
002224.XSHE,三力士,Normal,801030.INDX,Active
603020.XSHG,爱普股份,Normal,801120.INDX,Active
002107.XSHE,沃华医药,Normal,801150.INDX,Active
002415.XSHE,海康威视,Normal,801080.INDX,Active
600991.XSHG,广汽长丰,Normal,,Delisted
002617.XSHE,露笑科技,Normal,801730.INDX,Active
600830.XSHG,香溢融通,Normal,801790.INDX,Active
300586.XSHE,美联新材,Normal,801030.INDX,Active
300176.XSHE,鸿特科技,Normal,801790.INDX,Active
600823.XSHG,世茂股份,Normal,801180.INDX,Active
600322.XSHG,天房发展,Normal,801180.INDX,Active
600141.XSHG,兴发集团,Normal,801030.INDX,Active
002003.XSHE,伟星股份,Normal,801130.INDX,Active
000732.XSHE,泰禾集团,Normal,801180.INDX,Active
300600.XSHE,瑞特股份,Normal,801740.INDX,Active
300619.XSHE,金银河,Normal,801890.INDX,Active
603086.XSHG,先达股份,Normal,801030.INDX,Active
002304.XSHE,洋河股份,Normal,801120.INDX,Active
000868.XSHE,安凯客车,Normal,801880.INDX,Active
600084.XSHG,中葡股份,Normal,801120.INDX,Active
002242.XSHE,九阳股份,Normal,801110.INDX,Active
300253.XSHE,卫宁健康,Normal,801750.INDX,Active
002440.XSHE,闰土股份,Normal,801030.INDX,Active
002802.XSHE,洪汇新材,Normal,801030.INDX,Active
600716.XSHG,凤凰股份,Normal,801180.INDX,Active
002843.XSHE,泰嘉股份,Normal,801890.INDX,Active
000609.XSHE,中迪投资,Normal,801180.INDX,Active
000930.XSHE,中粮生化,Normal,801010.INDX,Active
600211.XSHG,西藏药业,Normal,801150.INDX,Active
603609.XSHG,禾丰牧业,Normal,801010.INDX,Active
300556.XSHE,丝路视觉,Normal,801750.INDX,Active
002309.XSHE,中利集团,Normal,801730.INDX,Active
600297.XSHG,广汇汽车,Normal,801880.INDX,Active
002641.XSHE,永高股份,Normal,801710.INDX,Active
603477.XSHG,振静股份,Normal,801130.INDX,Active
600337.XSHG,美克家居,Normal,801140.INDX,Active
603139.XSHG,康惠制药,Normal,801150.INDX,Active
300425.XSHE,环能科技,Normal,801160.INDX,Active
300057.XSHE,万顺股份,Normal,801140.INDX,Active
600779.XSHG,水井坊,Normal,801120.INDX,Active
600257.XSHG,大湖股份,Normal,801010.INDX,Active
300483.XSHE,沃施股份,Normal,801890.INDX,Active
300384.XSHE,三联虹普,Normal,801030.INDX,Active
002875.XSHE,安奈儿,Normal,801130.INDX,Active
600091.XSHG,ST明科,ST,801030.INDX,Active
300173.XSHE,智慧松德,Normal,801890.INDX,Active
600852.XSHG,*ST中川,StarST,,Delisted
600026.XSHG,中远海能,Normal,801170.INDX,Active
300213.XSHE,佳讯飞鸿,Normal,801770.INDX,Active
600302.XSHG,标准股份,Normal,801890.INDX,Active
002623.XSHE,亚玛顿,Normal,801710.INDX,Active
002028.XSHE,思源电气,Normal,801730.INDX,Active
002851.XSHE,麦格米特,Normal,801730.INDX,Active
603045.XSHG,福达合金,Normal,801050.INDX,Active
300315.XSHE,掌趣科技,Normal,801760.INDX,Active
600983.XSHG,惠而浦,Normal,801110.INDX,Active
002579.XSHE,中京电子,Normal,801080.INDX,Active
603918.XSHG,金桥信息,Normal,801750.INDX,Active
603303.XSHG,得邦照明,Normal,801080.INDX,Active
000425.XSHE,徐工机械,Normal,801890.INDX,Active
603866.XSHG,桃李面包,Normal,801120.INDX,Active
600419.XSHG,天润乳业,Normal,801120.INDX,Active
000881.XSHE,中广核技,Normal,801230.INDX,Active
300025.XSHE,华星创业,Normal,801770.INDX,Active
002619.XSHE,艾格拉斯,Normal,801760.INDX,Active
300085.XSHE,银之杰,Normal,801750.INDX,Active
600310.XSHG,桂东电力,Normal,801160.INDX,Active
002556.XSHE,辉隆股份,Normal,801030.INDX,Active
002654.XSHE,万润科技,Normal,801760.INDX,Active
000768.XSHE,中航飞机,Normal,801740.INDX,Active
603369.XSHG,今世缘,Normal,801120.INDX,Active
601965.XSHG,中国汽研,Normal,801880.INDX,Active
600307.XSHG,酒钢宏兴,Normal,801040.INDX,Active
002852.XSHE,道道全,Normal,801010.INDX,Active
601877.XSHG,正泰电器,Normal,801730.INDX,Active
