证券代码,证券简称,估价全价 2017-10-10,估价修正久期 2017-10-10,估价全价 2017-12-29,估价修正久期 2017-12-29,估价全价 2018-03-30,估价修正久期 2018-03-30,估价全价 2018-06-29,估价修正久期 2018-09-14,估价全价 2018-09-14,估价修正久期 2018-06-29
019923.SH,09国债23,100.0486,1.8196,100.4158,1.6039,100.1898,1.3931,101.1902,0.953,102.2664,1.1536
019925.SH,09国债25,101.9244,13.7509,98.2474,13.7034,101.9075,13.5923,104.395,13.5087,103.3838,13.7966
019927.SH,09国债27,101.9096,1.9126,100.4134,1.7305,101.9306,1.4958,101.1225,1.0817,102.2139,1.2821
019930.SH,09国债30,,,99.197,19.1565,104.2347,19.3283,106.5358,19.1197,102.4949,19.8199
020234.SH,18贴债17,,,,,,,99.1207,0.0848,99.8339,0.2933
020239.SH,18贴债22,,,,,,,98.8115,0.1611,99.6457,0.3681
020244.SH,18贴债27,,,,,,,98.6237,0.2371,99.4867,0.4431
020246.SH,18贴债29,,,,,,,99.301,0.0274,99.9492,0.2367
020247.SH,18贴债30,,,,,,,,0.0465,99.8971,
020248.SH,18贴债31,,,,,,,,0.0657,99.8766,
020249.SH,18贴债32,,,,,,,,0.0848,99.8416,
020250.SH,18贴债33,,,,,,,,0.3316,99.2281,
020251.SH,18贴债34,,,,,,,,0.1039,99.8001,
020252.SH,18贴债35,,,,,,,,0.123,99.7577,
020253.SH,18贴债36,,,,,,,,0.142,99.6987,
020254.SH,18贴债37,,,,,,,,0.1611,99.6822,
020255.SH,18贴债38,,,,,,,,0.4069,99.027,
020256.SH,18贴债39,,,,,,,,0.1802,99.6451,
020257.SH,18贴债40,,,,,,,,0.1992,99.5914,
020258.SH,18贴债41,,,,,,,,0.2182,99.5453,
020259.SH,18贴债42,,,,,,,,0.2372,99.5055,
020260.SH,18贴债43,,,,,,,,0.4815,98.7473,
020261.SH,18贴债44,,,,,,,,,,
100303.SZ,国债0303,99.5836,4.8032,97.995,4.6663,99.5011,4.4331,99.8732,4.0753,100.3241,4.2824
100504.SZ,国债0504,103.1508,6.2596,100.9992,6.159,102.7073,5.9296,103.1204,5.6127,103.0521,5.8283
100512.SZ,国债0512,101.2163,2.8078,99.7156,2.6411,101.3244,2.4077,100.849,2.0114,101.7816,2.2133
100609.SZ,国债0609,101.0986,7.18,98.3335,7.0695,100.3057,6.8461,100.6607,6.5312,100.558,6.748
100619.SZ,国债0619,99.2272,3.6724,97.6645,3.5128,99.2865,3.2801,99.4012,2.8953,99.9316,3.1012
100706.SZ,国债0706,102.9187,12.7735,99.6514,12.7434,103.0252,12.5999,105.1384,12.4879,104.5763,12.7455
100713.SZ,国债0713,107.1704,7.7835,105.9231,7.5328,105.9235,7.4749,108.496,7.1926,106.0431,7.2624
100802.SZ,国债0802,102.963,4.6929,103.0511,4.4725,102.5042,4.3272,104.5623,3.972,102.943,4.0998
100806.SZ,国债0806,106.6191,13.0356,103.0033,13.0017,106.59,12.8701,108.8721,12.7748,108.1353,13.0429
100813.SZ,国债0813,111.9701,8.294,111.0109,8.0454,110.9736,8.0109,113.7217,7.7525,111.1732,7.8031
100818.SZ,国债0818,100.4121,0.9076,100.9368,0.6935,100.3115,0.4749,101.1601,0.0219,101.8008,0.2313
100820.SZ,国债0820,98.6577,13.6015,95.2726,13.5552,98.7273,13.4306,101.1637,13.3326,100.3316,13.6072
100823.SZ,国债0823,100.8212,5.2806,98.9397,5.1516,100.5607,4.9201,101.0613,4.5733,101.2819,4.7834
100825.SZ,国债0825,100.0988,1.1161,99.2216,0.9163,100.4801,0.6792,99.9303,0.2505,100.8489,0.456
100902.SZ,国债0902,102.4397,8.9528,101.6642,8.7075,102.1259,8.661,104.6446,8.3885,102.684,8.4522
100903.SZ,国债0903,99.6071,1.3467,100.11,1.1324,99.904,0.9102,100.8442,0.4841,100.2158,0.6701
100905.SZ,国债0905,97.9675,13.9469,96.4624,13.621,100.0062,13.5029,102.47,13.4126,101.5582,13.6935
100907.SZ,国债0907,100.4697,1.4731,99.4277,1.2799,100.8133,1.0439,100.2594,0.6161,101.1751,0.8182
100911.SZ,国债0911,100.847,5.6842,98.7976,5.5612,100.545,5.3319,101.1947,4.9934,101.1968,5.2066
100912.SZ,国债0912,100.2316,1.5835,99.12,1.3903,100.5381,1.1548,99.9528,0.7277,100.9146,0.9294
100916.SZ,国债0916,100.5926,1.6705,101.0097,1.4554,100.732,1.2445,101.7166,0.8199,101.0001,1.0046
100920.SZ,国债0920,102.9181,9.2169,102.2912,8.9729,102.8481,8.9406,105.3394,8.6781,103.355,8.7325
100923.SZ,国债0923,100.0486,1.8196,100.4158,1.6039,100.1898,1.3931,101.1902,0.953,102.2664,1.1536
100925.SZ,国债0925,101.9244,13.7509,98.2474,13.7034,101.9075,13.5923,104.395,13.5087,103.3838,13.7966
100927.SZ,国债0927,101.9096,1.9126,100.4134,1.7305,101.9306,1.4958,101.1225,1.0817,102.2139,1.2821
100930.SZ,国债0930,,,99.197,19.1565,104.2347,19.3283,106.5358,19.1197,102.4949,19.8199
101002.SZ,国债1002,100.3834,2.1582,100.7116,1.9422,100.5326,1.7397,101.6291,1.3243,100.9831,1.5009
101003.SZ,国债1003,98.3064,14.1545,96.7008,13.8144,98.313,13.9953,102.8563,13.9089,99.7434,13.9252
101007.SZ,国债1007,99.8095,2.2905,100.1234,2.0742,99.9813,1.8711,101.0981,1.4318,102.1358,1.6327
101009.SZ,国债1009,103.3031,9.4613,100.8176,9.4023,103.5325,9.2031,103.9943,8.9525,103.9936,9.1735
101012.SZ,国债1012,100.3926,2.3818,99.1061,2.2034,100.6685,1.9694,100.2186,1.5609,101.248,1.7619
101014.SZ,国债1014,,,94.0263,19.4571,98.8631,19.6414,101.1218,19.4307,97.211,20.1464
101018.SZ,国债1018,97.984,14.1764,94.3487,14.1246,98.0034,14.0218,100.5161,13.9393,99.3852,14.2366
101019.SZ,国债1019,100.655,2.4899,99.2722,2.3129,100.8214,2.0788,100.306,1.6712,101.294,1.8725
101023.SZ,国债1023,97.6018,14.3865,95.9295,14.0401,99.1863,14.307,103.805,14.2167,100.5791,14.2428
101024.SZ,国债1024,99.9216,2.6057,100.2304,2.3893,100.1372,2.1932,101.3488,1.7844,100.6659,1.9556
101026.SZ,国债1026,97.3868,14.4329,95.7078,14.0863,97.412,14.2756,101.9621,14.1878,98.7821,14.2114
101029.SZ,国债1029,99.8021,9.8712,99.36,9.628,100.2173,9.6139,102.6318,9.3603,100.7021,9.408
101031.SZ,国债1031,99.6238,2.7169,99.914,2.5002,99.8164,2.3042,101.0523,1.8652,101.979,2.0671
101034.SZ,国债1034,101.7443,2.7625,100.2188,2.5958,101.8096,2.3622,101.2861,1.9656,102.2154,2.1675
101037.SZ,国债1037,,,101.2493,19.197,106.4017,19.3798,108.7508,19.1709,104.6112,19.8855
101040.SZ,国债1040,102.101,14.2393,98.2546,14.1859,102.0772,14.0896,104.6402,14.0095,103.3635,14.3147
101041.SZ,国债1041,101.7907,2.89,100.1844,2.724,101.7639,2.4903,101.2307,2.0944,102.1069,2.2969
101102.SZ,国债1102,101.7697,2.9728,102.0476,2.7558,101.6818,2.5752,103.0936,2.1814,101.9856,2.3396
101105.SZ,国债1105,102.5336,14.3904,100.7669,14.0381,102.4997,14.2422,107.2243,14.1599,103.7377,14.1828
